DATETIME,price
1997-12-02,-1820.2900000000045
1997-12-03,-1831.2900000000045
1997-12-04,-1776.2900000000045
1997-12-05,-1856.7900000000045
1997-12-08,-1949.2900000000045
1997-12-09,-2061.2900000000045
1997-12-10,-2096.2900000000045
1997-12-11,-2111.2900000000045
1997-12-12,-2091.2900000000045
1997-12-15,-2228.2900000000045
1997-12-16,-2225.2900000000045
1997-12-17,-2098.2900000000045
1997-12-18,-2131.2900000000045
1997-12-19,-2186.2900000000045
1997-12-22,-2168.2100000000046
1997-12-23,-2198.2100000000046
1997-12-24,-2153.2100000000046
1997-12-29,-2136.2100000000046
1997-12-30,-2072.360000000004
1997-12-31,-2083.360000000004
1998-01-05,-2133.400000000004
1998-01-06,-2128.090000000004
1998-01-07,-2213.260000000004
1998-01-08,-2203.800000000004
1998-01-09,-2260.600000000004
1998-01-12,-2403.2500000000036
1998-01-13,-2274.6200000000035
1998-01-14,-2300.6600000000035
1998-01-15,-2305.260000000004
1998-01-16,-2320.5300000000043
1998-01-19,-2368.3300000000036
1998-01-20,-2337.3300000000036
1998-01-21,-2329.400000000004
1998-01-22,-2256.800000000004
1998-01-23,-2241.800000000004
1998-01-26,-2267.800000000004
1998-01-27,-2255.720000000004
1998-01-28,-2277.800000000004
1998-01-29,-2287.800000000004
1998-01-30,-2287.730000000003
1998-02-02,-2293.0300000000034
1998-02-03,-2273.8600000000033
1998-02-04,-2232.6600000000035
1998-02-05,-2227.9600000000037
1998-02-06,-2228.3300000000036
1998-02-09,-2233.4400000000032
1998-02-10,-2234.510000000004
1998-02-11,-2174.0400000000036
1998-02-12,-2205.0700000000033
1998-02-13,-2310.6600000000035
1998-02-16,-2299.260000000004
1998-02-17,-2268.6600000000035
1998-02-18,-2219.6600000000035
1998-02-19,-2223.6600000000035
1998-02-20,-2165.730000000003
1998-02-23,-2228.590000000004
1998-02-24,-2228.590000000004
1998-02-25,-2246.6600000000035
1998-02-26,-2191.6600000000035
1998-02-27,-2181.6600000000035
1998-03-02,-2140.6600000000035
1998-03-03,-2078.4200000000037
1998-03-04,-2103.8800000000037
1998-03-05,-2072.7800000000034
1998-03-06,-2010.1500000000033
1998-03-09,-1966.3800000000037
1998-03-10,-1974.850000000003
1998-03-11,-2095.640000000003
1998-03-12,-2201.060000000003
1998-03-13,-2084.980000000003
1998-03-16,-1989.6100000000033
1998-03-17,-2045.9200000000037
1998-03-18,-2043.3200000000033
1998-03-19,-2038.6700000000037
1998-03-20,-2016.3200000000033
1998-03-23,-1994.640000000003
1998-03-24,-2018.7100000000037
1998-03-25,-2001.9900000000034
1998-03-26,-1927.7100000000037
1998-03-27,-1931.100000000003
1998-03-30,-1921.100000000003
1998-03-31,-1840.100000000003
1998-04-01,-1835.390000000003
1998-04-02,-1893.720000000003
1998-04-03,-1843.220000000003
1998-04-06,-1860.3200000000033
1998-04-07,-1880.2700000000032
1998-04-08,-1883.720000000003
1998-04-09,-1883.640000000003
1998-04-14,-1870.890000000003
1998-04-15,-1900.8300000000027
1998-04-16,-1888.8300000000027
1998-04-17,-1858.300000000003
1998-04-20,-1836.300000000003
1998-04-21,-1821.300000000003
