DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1997-12-02,1589.0,1592.75,1592.75,19980200,19980300,19980300
1997-12-03,1585.0,1588.75,1588.75,19980200,19980300,19980300
1997-12-04,1583.0,1586.5,1586.5,19980200,19980300,19980300
1997-12-05,1571.0,1575.0,1575.0,19980200,19980300,19980300
1997-12-08,1568.75,1571.0,1571.0,19980200,19980300,19980300
1997-12-09,1581.0,1583.0,1583.0,19980200,19980300,19980300
1997-12-10,1576.25,1578.5,1578.5,19980200,19980300,19980300
1997-12-11,1561.0,1564.0,1564.0,19980200,19980300,19980300
1997-12-12,1559.75,1563.0,1563.0,19980200,19980300,19980300
1997-12-15,1520.5,1524.5,1524.5,19980200,19980300,19980300
1997-12-16,1513.75,1517.5,1517.5,19980200,19980300,19980300
1997-12-17,1536.0,1539.25,1539.25,19980200,19980300,19980300
1997-12-18,1543.0,,,19980200,19980300,19980300
1997-12-19,1539.75,1544.25,1544.25,19980200,19980300,19980300
1997-12-22,1527.61,1532.57,1532.57,19980200,19980300,19980300
1997-12-23,1526.76,1532.61,1532.61,19980200,19980300,19980300
1997-12-24,1518.51,1524.31,1524.31,19980200,19980300,19980300
1997-12-29,1519.26,1525.25,1525.25,19980200,19980300,19980300
1997-12-30,1562.1,1566.52,1566.52,19980200,19980300,19980300
1997-12-31,1547.6,1551.5,1551.5,19980200,19980300,19980300
1998-01-05,1500.67,1507.35,1507.35,19980300,19980400,19980400
1998-01-06,1502.67,1509.0,1509.0,19980300,19980400,19980400
1998-01-07,1502.53,1508.15,1508.15,19980300,19980400,19980400
1998-01-08,1490.4,1495.7,1495.7,19980300,19980400,19980400
1998-01-09,1488.18,1493.55,1493.55,19980300,19980400,19980400
1998-01-12,1468.77,1473.95,1473.95,19980300,19980400,19980400
1998-01-13,1501.04,1505.2,1505.2,19980300,19980400,19980400
1998-01-14,1508.9,1513.2,1513.2,19980300,19980400,19980400
1998-01-15,1503.52,1506.25,1506.25,19980300,19980400,19980400
1998-01-16,1495.54,1497.63,1497.63,19980300,19980400,19980400
1998-01-19,1500.79,1503.6,1503.6,19980300,19980400,19980400
1998-01-20,1496.25,1497.9,1497.9,19980300,19980400,19980400
1998-01-21,1505.65,1505.48,1505.48,19980300,19980400,19980400
1998-01-22,1530.79,1526.13,1526.13,19980300,19980400,19980400
1998-01-23,1547.05,1540.0,1540.0,19980300,19980400,19980400
1998-01-26,1537.02,1532.5,1532.5,19980300,19980400,19980400
1998-01-27,1551.02,1545.0,1545.0,19980300,19980400,19980400
1998-01-28,1530.25,1530.02,1530.02,19980300,19980400,19980400
1998-01-29,1540.87,1539.04,1539.04,19980300,19980400,19980400
