DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1997-12-02,1822.25,1829.0,1829.0,19980200,19980300,19980300
1997-12-03,1804.5,1812.5,1812.5,19980200,19980300,19980300
1997-12-04,1821.0,1828.0,1828.0,19980200,19980300,19980300
1997-12-05,1801.5,1808.5,1808.5,19980200,19980300,19980300
1997-12-08,1800.0,1807.0,1807.0,19980200,19980300,19980300
1997-12-09,1810.0,1816.5,1816.5,19980200,19980300,19980300
1997-12-10,1815.75,1822.0,1822.0,19980200,19980300,19980300
1997-12-11,1806.25,1813.0,1813.0,19980200,19980300,19980300
1997-12-12,1808.75,1815.5,1815.5,19980200,19980300,19980300
1997-12-15,1756.0,1762.5,1762.5,19980200,19980300,19980300
1997-12-16,1749.0,1755.5,1755.5,19980200,19980300,19980300
1997-12-17,1768.0,1775.0,1775.0,19980200,19980300,19980300
1997-12-18,1778.75,,,19980200,19980300,19980300
1997-12-19,1770.5,1778.0,1778.0,19980200,19980300,19980300
1997-12-22,1776.38,1782.57,1782.57,19980200,19980300,19980300
1997-12-23,1758.15,1765.57,1765.57,19980200,19980300,19980300
1997-12-24,1747.15,1754.3,1754.3,19980200,19980300,19980300
1997-12-29,1716.97,1725.25,1725.25,19980200,19980300,19980300
1997-12-30,1727.97,1736.25,1736.25,19980200,19980300,19980300
1997-12-31,1738.15,1746.08,1746.08,19980200,19980300,19980300
1998-01-05,1700.42,1709.5,1709.5,19980300,19980400,19980400
1998-01-06,1690.92,1699.5,1699.5,19980300,19980400,19980400
1998-01-07,1683.66,1692.0,1692.0,19980300,19980400,19980400
1998-01-08,1689.81,1697.8,1697.8,19980300,19980400,19980400
1998-01-09,1666.44,1675.0,1675.0,19980300,19980400,19980400
1998-01-12,1657.85,1666.35,1666.35,19980300,19980400,19980400
1998-01-13,1706.24,1713.6,1713.6,19980300,19980400,19980400
1998-01-14,1726.13,1733.45,1733.45,19980300,19980400,19980400
1998-01-15,1723.05,1729.4,1729.4,19980300,19980400,19980400
1998-01-16,1714.44,1719.68,1719.68,19980300,19980400,19980400
1998-01-19,1697.3,1703.1,1703.1,19980300,19980400,19980400
1998-01-20,1694.98,1702.25,1702.25,19980300,19980400,19980400
1998-01-21,1720.6,1728.07,1728.07,19980300,19980400,19980400
1998-01-22,1720.35,1727.75,1727.75,19980300,19980400,19980400
1998-01-23,1742.6,1749.33,1749.33,19980300,19980400,19980400
1998-01-26,1750.85,1757.48,1757.48,19980300,19980400,19980400
1998-01-27,1769.71,1776.52,1776.52,19980300,19980400,19980400
1998-01-28,1759.71,1766.27,1766.27,19980300,19980400,19980400
1998-01-29,1772.85,1778.86,1778.86,19980300,19980400,19980400
1998-01-30,1761.87,1769.19,1769.19,19980400,19980500,19980500
1998-02-02,1763.75,1770.94,1770.94,19980400,19980500,19980500
1998-02-03,1700.95,1707.63,1707.63,19980400,19980500,19980500
1998-02-04,1719.1,1725.63,1725.63,19980400,19980500,19980500
1998-02-05,1707.03,1713.75,1713.75,19980400,19980500,19980500
1998-02-06,1708.92,1715.25,1715.25,19980400,19980500,19980500
1998-02-09,1684.53,1690.75,1690.75,19980400,19980500,19980500
1998-02-10,1694.04,1700.06,1700.06,19980400,19980500,19980500
1998-02-11,1712.92,1719.06,1719.06,19980400,19980500,19980500
1998-02-12,1712.59,1718.69,1718.69,19980400,19980500,19980500
1998-02-13,1693.38,1699.44,1699.44,19980400,19980500,19980500
1998-02-16,1687.67,1694.0,1694.0,19980400,19980500,19980500
1998-02-17,1667.83,1674.31,1674.31,19980400,19980500,19980500
1998-02-18,1661.83,1668.31,1668.31,19980400,19980500,19980500
1998-02-19,1675.59,1681.88,1681.88,19980400,19980500,19980500
1998-02-20,1664.35,1670.63,1670.63,19980400,19980500,19980500
1998-02-23,1623.8,1630.15,1630.15,19980400,19980500,19980500
1998-02-24,1623.8,1630.23,1630.23,19980400,19980500,19980500
1998-02-25,1659.9,1665.2,1665.2,19980400,19980500,19980500
1998-02-26,1699.0,1703.2,1703.2,19980400,19980500,19980500
1998-02-27,1701.7,1705.96,1705.96,19980400,19980500,19980500
1998-03-02,1743.05,1748.46,1748.46,19980400,19980500,19980500
1998-03-03,1737.29,1742.75,1742.75,19980500,19980600,19980600
1998-03-04,1730.8,1736.88,1736.88,19980500,19980600,19980600
1998-03-05,1782.02,1787.0,1787.0,19980500,19980600,19980600
1998-03-06,1775.03,1779.38,1779.38,19980500,19980600,19980600
1998-03-09,1773.31,1777.13,1777.13,19980500,19980600,19980600
1998-03-10,1776.07,1779.75,1779.75,19980500,19980600,19980600
1998-03-11,1780.27,1783.5,1783.5,19980500,19980600,19980600
1998-03-12,1824.13,1825.75,1825.75,19980500,19980600,19980600
1998-03-13,1817.03,1819.75,1819.75,19980500,19980600,19980600
1998-03-16,1824.3,1827.25,1827.25,19980500,19980600,19980600
1998-03-17,1815.93,1820.5,1820.5,19980500,19980600,19980600
1998-03-18,1776.07,1781.56,1781.56,19980500,19980600,19980600
1998-03-19,1757.12,1763.38,1763.38,19980500,19980600,19980600
1998-03-20,1755.62,1761.38,1761.38,19980500,19980600,19980600
1998-03-23,1789.57,1795.09,1795.09,19980500,19980600,19980600
1998-03-24,1761.35,1766.9,1766.9,19980500,19980600,19980600
1998-03-25,1754.35,1759.92,1759.92,19980500,19980600,19980600
1998-03-26,1753.1,1758.86,1758.86,19980500,19980600,19980600
1998-03-27,1746.67,1753.82,1753.82,19980500,19980600,19980600
