DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2000-01-17,518.0,520.5,520.5,20010200,20010300,20010300
2000-01-18,514.5,517.0,517.0,20010200,20010300,20010300
2000-01-19,517.0,519.5,519.5,20010200,20010300,20010300
2000-01-20,513.25,515.75,515.75,20010200,20010300,20010300
2000-01-21,512.5,515.5,515.5,20010200,20010300,20010300
2000-01-24,513.0,516.0,516.0,20010200,20010300,20010300
2000-01-25,514.0,517.0,517.0,20010200,20010300,20010300
2000-01-26,515.0,517.5,517.5,20010200,20010300,20010300
2000-01-27,514.0,516.5,516.5,20010200,20010300,20010300
2000-01-28,510.0,512.5,512.5,20010200,20010300,20010300
2000-01-31,510.0,512.5,512.5,20010200,20010300,20010300
2000-02-01,504.5,507.0,507.0,20010200,20010300,20010300
2000-02-02,509.0,511.75,511.75,20010200,20010300,20010300
2000-02-03,504.5,507.25,507.25,20010200,20010300,20010300
2000-02-04,503.0,506.0,506.0,20010200,20010300,20010300
2000-02-07,503.75,506.5,506.5,20010200,20010300,20010300
2000-02-08,503.25,506.0,506.0,20010200,20010300,20010300
2000-02-09,504.0,506.75,506.75,20010200,20010300,20010300
2000-02-10,504.75,507.5,507.5,20010200,20010300,20010300
2000-02-11,508.0,510.75,510.75,20010200,20010300,20010300
2000-02-14,501.25,504.0,504.0,20010200,20010300,20010300
2000-02-15,496.5,499.25,499.25,20010200,20010300,20010300
2000-02-16,500.0,502.75,502.75,20010200,20010300,20010300
2000-02-17,502.25,505.0,505.0,20010200,20010300,20010300
2000-02-18,501.5,504.25,504.25,20010200,20010300,20010300
2000-02-21,497.5,500.25,500.25,20010200,20010300,20010300
2000-02-22,499.5,502.25,502.25,20010200,20010300,20010300
2000-02-23,500.75,503.5,503.5,20010200,20010300,20010300
2000-02-24,501.0,504.0,504.0,20010200,20010300,20010300
2000-02-25,501.0,504.0,504.0,20010200,20010300,20010300
2000-02-28,495.25,498.25,498.25,20010200,20010300,20010300
2000-02-29,493.5,496.5,496.5,20010200,20010300,20010300
2000-03-01,504.75,508.0,508.0,20010200,20010300,20010300
2000-03-02,499.75,503.0,503.0,20010200,20010300,20010300
2000-03-03,497.75,501.0,501.0,20010200,20010300,20010300
2000-03-06,496.25,499.5,499.5,20010200,20010300,20010300
2000-03-07,492.0,495.25,495.25,20010200,20010300,20010300
2000-03-08,490.25,493.5,493.5,20010200,20010300,20010300
2000-03-09,491.75,495.0,495.0,20010200,20010300,20010300
2000-03-10,490.25,493.25,493.25,20010200,20010300,20010300
2000-03-13,486.75,489.75,489.75,20010200,20010300,20010300
2000-03-14,485.5,488.5,488.5,20010200,20010300,20010300
2000-03-15,485.25,488.5,488.5,20010200,20010300,20010300
2000-03-16,484.5,487.75,487.75,20010200,20010300,20010300
2000-03-17,484.0,487.25,487.25,20010200,20010300,20010300
2000-03-20,487.0,490.25,490.25,20010200,20010300,20010300
2000-03-21,486.5,489.75,489.75,20010200,20010300,20010300
2000-03-22,486.0,489.25,489.25,20010200,20010300,20010300
2000-03-23,486.5,490.0,490.0,20010200,20010300,20010300
2000-03-24,487.25,490.75,490.75,20010200,20010300,20010300
2000-03-27,485.25,488.75,488.75,20010200,20010300,20010300
2000-03-28,486.0,489.5,489.5,20010200,20010300,20010300
2000-03-29,484.75,488.25,488.25,20010200,20010300,20010300
2000-03-30,485.25,488.75,488.75,20010200,20010300,20010300
2000-03-31,488.0,491.5,491.5,20010200,20010300,20010300
2000-04-03,483.0,486.5,486.5,20010200,20010300,20010300
2000-04-04,483.0,486.5,486.5,20010200,20010300,20010300
2000-04-05,481.75,485.25,485.25,20010200,20010300,20010300
2000-04-06,471.25,474.75,474.75,20010200,20010300,20010300
2000-04-07,477.75,482.0,482.0,20010200,20010300,20010300
2000-04-10,478.25,482.5,482.5,20010200,20010300,20010300
2000-04-11,479.5,483.75,483.75,20010200,20010300,20010300
2000-04-12,476.75,481.0,481.0,20010200,20010300,20010300
2000-04-13,474.75,479.0,479.0,20010200,20010300,20010300
2000-04-14,474.0,478.25,478.25,20010200,20010300,20010300
2000-04-17,471.55,475.8,475.8,20010200,20010300,20010300
2000-04-18,478.4,482.65,482.65,20010200,20010300,20010300
2000-04-19,475.75,479.5,479.5,20010200,20010300,20010300
2000-04-20,478.25,482.0,482.0,20010200,20010300,20010300
2000-04-21,478.25,482.0,482.0,20010200,20010300,20010300
2000-04-24,478.25,482.0,482.0,20010200,20010300,20010300
2000-04-25,468.25,472.0,472.0,20010200,20010300,20010300
2000-04-26,457.0,460.5,460.5,20010200,20010300,20010300
2000-04-27,451.25,455.0,455.0,20010200,20010300,20010300
2000-04-28,458.5,462.0,462.0,20010200,20010300,20010300
2000-05-01,458.5,462.0,462.0,20010200,20010300,20010300
2000-05-02,455.5,459.0,459.0,20010200,20010300,20010300
2000-05-03,452.5,456.0,456.0,20010200,20010300,20010300
2000-05-04,451.25,454.75,454.75,20010200,20010300,20010300
2000-05-05,453.25,456.75,456.75,20010200,20010300,20010300
2000-05-08,455.0,458.5,458.5,20010200,20010300,20010300
2000-05-09,454.5,458.0,458.0,20010200,20010300,20010300
2000-05-10,453.25,456.75,456.75,20010200,20010300,20010300
2000-05-11,450.25,453.75,453.75,20010200,20010300,20010300
2000-05-12,455.25,458.75,458.75,20010200,20010300,20010300
2000-05-15,453.45,456.95,456.95,20010200,20010300,20010300
2000-05-16,451.75,455.25,455.25,20010200,20010300,20010300
2000-05-17,446.75,450.0,450.0,20010200,20010300,20010300
2000-05-18,443.5,446.75,446.75,20010200,20010300,20010300
2000-05-19,445.0,448.0,448.0,20010200,20010300,20010300
2000-05-22,446.75,449.5,449.5,20010200,20010300,20010300
2000-05-23,450.3,453.05,453.05,20010200,20010300,20010300
2000-05-24,453.25,456.0,456.0,20010200,20010300,20010300
2000-05-25,451.5,454.25,454.25,20010200,20010300,20010300
2000-05-26,458.0,460.5,460.5,20010200,20010300,20010300
2000-05-29,458.0,460.5,460.5,20010200,20010300,20010300
2000-05-30,455.5,458.0,458.0,20010200,20010300,20010300
2000-05-31,445.5,448.0,448.0,20010200,20010300,20010300
2000-06-01,443.5,446.0,446.0,20010200,20010300,20010300
2000-06-02,443.5,446.0,446.0,20010200,20010300,20010300
2000-06-05,450.0,452.5,452.5,20010200,20010300,20010300
2000-06-06,451.5,454.0,454.0,20010200,20010300,20010300
2000-06-07,446.5,449.0,449.0,20010200,20010300,20010300
2000-06-08,449.5,452.0,452.0,20010200,20010300,20010300
2000-06-09,454.0,456.5,456.5,20010200,20010300,20010300
2000-06-12,450.5,453.0,453.0,20010200,20010300,20010300
2000-06-13,452.0,454.5,454.5,20010200,20010300,20010300
