DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1997-12-02,6019.0,6046.0,6046.0,19980200,19980300,19980300
1997-12-03,5957.0,5986.0,5986.0,19980200,19980300,19980300
1997-12-04,6238.0,6265.0,6265.0,19980200,19980300,19980300
1997-12-05,6022.0,6049.0,6049.0,19980200,19980300,19980300
1997-12-08,6022.0,6049.0,6049.0,19980200,19980300,19980300
1997-12-09,6081.0,6109.0,6109.0,19980200,19980300,19980300
1997-12-10,6290.0,6318.0,6318.0,19980200,19980300,19980300
1997-12-11,6224.0,6253.0,6253.0,19980200,19980300,19980300
1997-12-12,6227.0,6257.0,6257.0,19980200,19980300,19980300
1997-12-15,6033.0,6062.5,6062.5,19980200,19980300,19980300
1997-12-16,5989.0,6017.0,6017.0,19980200,19980300,19980300
1997-12-17,5960.0,5986.0,5986.0,19980200,19980300,19980300
1997-12-18,5975.0,,,19980200,19980300,19980300
1997-12-19,5930.0,5954.5,5954.5,19980200,19980300,19980300
1997-12-22,5989.71,6012.09,6012.09,19980200,19980300,19980300
1997-12-23,5939.71,5962.09,5962.09,19980200,19980300,19980300
1997-12-24,5953.04,5976.09,5976.09,19980200,19980300,19980300
1997-12-29,5952.36,5977.5,5977.5,19980200,19980300,19980300
1997-12-30,6052.36,6077.5,6077.5,19980200,19980300,19980300
1997-12-31,6040.68,6066.62,6066.62,19980200,19980300,19980300
1998-01-05,5919.0,5949.4,5949.4,19980300,19980400,19980400
1998-01-06,5813.53,5845.2,5845.2,19980300,19980400,19980400
1998-01-07,5792.3,5824.2,5824.2,19980300,19980400,19980400
1998-01-08,5801.62,5831.8,5831.8,19980300,19980400,19980400
1998-01-09,5760.39,5790.8,5790.8,19980300,19980400,19980400
1998-01-12,5670.48,5700.8,5700.8,19980300,19980400,19980400
1998-01-13,5684.96,5715.8,5715.8,19980300,19980400,19980400
1998-01-14,5709.96,5740.8,5740.8,19980300,19980400,19980400
1998-01-15,5589.46,5619.4,5619.4,19980300,19980400,19980400
1998-01-16,5573.96,5603.38,5603.38,19980300,19980400,19980400
1998-01-19,5419.96,5449.6,5449.6,19980300,19980400,19980400
1998-01-20,5410.73,5439.6,5439.6,19980300,19980400,19980400
1998-01-21,5436.54,5463.55,5463.55,19980300,19980400,19980400
1998-01-22,5381.54,5407.5,5407.5,19980300,19980400,19980400
1998-01-23,5576.54,5601.44,5601.44,19980300,19980400,19980400
1998-01-26,5407.77,5432.17,5432.17,19980300,19980400,19980400
1998-01-27,5323.27,5347.17,5347.17,19980300,19980400,19980400
1998-01-28,5311.73,5336.09,5336.09,19980300,19980400,19980400
1998-01-29,5415.2,5439.36,5439.36,19980300,19980400,19980400
1998-01-30,5429.3,5458.5,5458.5,19980400,19980500,19980500
1998-02-02,5523.56,5552.5,5552.5,19980400,19980500,19980500
1998-02-03,5425.2,5452.5,5452.5,19980400,19980500,19980500
1998-02-04,5409.9,5437.5,5437.5,19980400,19980500,19980500
1998-02-05,5519.9,5547.5,5547.5,19980400,19980500,19980500
1998-02-06,5573.67,5600.5,5600.5,19980400,19980500,19980500
1998-02-09,5586.78,5613.5,5613.5,19980400,19980500,19980500
1998-02-10,5618.69,5645.5,5645.5,19980400,19980500,19980500
1998-02-11,5678.92,5705.5,5705.5,19980400,19980500,19980500
1998-02-12,5717.96,5744.5,5744.5,19980400,19980500,19980500
1998-02-13,5697.0,5723.5,5723.5,19980400,19980500,19980500
1998-02-16,5484.53,5511.75,5511.75,19980400,19980500,19980500
1998-02-17,5441.58,5469.0,5469.0,19980400,19980500,19980500
1998-02-18,5411.58,5439.0,5439.0,19980400,19980500,19980500
1998-02-19,5500.88,5528.0,5528.0,19980400,19980500,19980500
1998-02-20,5504.6,5532.5,5532.5,19980400,19980500,19980500
1998-02-23,5377.6,5405.38,5405.38,19980400,19980500,19980500
1998-02-24,5234.6,5261.09,5261.09,19980400,19980500,19980500
1998-02-25,5234.1,5261.09,5261.09,19980400,19980500,19980500
1998-02-26,5284.6,5311.05,5311.05,19980400,19980500,19980500
1998-02-27,5354.1,5379.21,5379.21,19980400,19980500,19980500
