DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2018-06-18 00:00:00,98.775,98.75,98.805,20210900,20211200,20210600
2018-06-19 00:00:00,98.805,98.78,98.835,20210900,20211200,20210600
2018-06-20 00:00:00,98.805,98.78,98.835,20210900,20211200,20210600
2018-06-21 00:00:00,98.795,98.77,98.825,20210900,20211200,20210600
2018-06-22 00:00:00,98.775,98.75,98.805,20210900,20211200,20210600
2018-06-25 00:00:00,98.815,98.795,98.835,20210900,20211200,20210600
2018-06-26 00:00:00,98.805,98.785,98.835,20210900,20211200,20210600
2018-06-27 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-06-28 00:00:00,98.85,98.825,98.88,20210900,20211200,20210600
2018-06-29 00:00:00,98.82,98.795,98.855,20210900,20211200,20210600
2018-07-02 00:00:00,98.83,98.805,98.865,20210900,20211200,20210600
2018-07-03 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-07-04 00:00:00,98.805,98.785,98.83,20210900,20211200,20210600
2018-07-05 00:00:00,98.81,98.79,98.835,20210900,20211200,20210600
2018-07-06 00:00:00,98.795,98.775,98.82,20210900,20211200,20210600
2018-07-09 00:00:00,98.795,98.775,98.82,20210900,20211200,20210600
2018-07-10 00:00:00,98.765,98.745,98.79,20210900,20211200,20210600
2018-07-11 00:00:00,98.775,98.755,98.8,20210900,20211200,20210600
2018-07-12 00:00:00,98.805,98.785,98.83,20210900,20211200,20210600
2018-07-13 00:00:00,98.805,98.785,98.83,20210900,20211200,20210600
2018-07-16 00:00:00,98.805,98.785,98.83,20210900,20211200,20210600
2018-07-17 00:00:00,98.815,98.795,98.84,20210900,20211200,20210600
2018-07-18 00:00:00,98.865,98.845,98.89,20210900,20211200,20210600
2018-07-19 00:00:00,98.88,98.86,98.905,20210900,20211200,20210600
2018-07-20 00:00:00,98.865,98.845,98.89,20210900,20211200,20210600
2018-07-23 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-07-24 00:00:00,98.83,98.81,98.855,20210900,20211200,20210600
2018-07-25 00:00:00,98.825,98.805,98.85,20210900,20211200,20210600
2018-07-26 00:00:00,98.8,98.78,98.825,20210900,20211200,20210600
2018-07-27 00:00:00,98.79,98.77,98.815,20210900,20211200,20210600
2018-07-30 00:00:00,98.745,98.725,98.77,20210900,20211200,20210600
2018-07-31 00:00:00,98.745,98.725,98.77,20210900,20211200,20210600
2018-08-01 00:00:00,98.715,98.695,98.74,20210900,20211200,20210600
2018-08-02 00:00:00,98.715,98.695,98.74,20210900,20211200,20210600
2018-08-03 00:00:00,98.755,98.735,98.78,20210900,20211200,20210600
2018-08-06 00:00:00,98.78,98.76,98.805,20210900,20211200,20210600
2018-08-07 00:00:00,98.77,98.75,98.795,20210900,20211200,20210600
2018-08-08 00:00:00,98.77,98.75,98.795,20210900,20211200,20210600
2018-08-09 00:00:00,98.785,98.765,98.81,20210900,20211200,20210600
2018-08-10 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-08-13 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-08-14 00:00:00,98.845,98.825,98.87,20210900,20211200,20210600
2018-08-15 00:00:00,98.875,98.855,98.9,20210900,20211200,20210600
2018-08-16 00:00:00,98.865,98.845,98.89,20210900,20211200,20210600
2018-08-17 00:00:00,98.865,98.845,98.89,20210900,20211200,20210600
2018-08-20 00:00:00,98.87,98.85,98.895,20210900,20211200,20210600
2018-08-21 00:00:00,98.835,98.815,98.86,20210900,20211200,20210600
2018-08-22 00:00:00,98.835,98.815,98.86,20210900,20211200,20210600
2018-08-23 00:00:00,98.825,98.805,98.85,20210900,20211200,20210600
2018-08-24 00:00:00,98.825,98.805,98.85,20210900,20211200,20210600
2018-08-27 00:00:00,98.825,98.805,98.85,20210900,20211200,20210600
2018-08-28 00:00:00,98.815,98.795,98.84,20210900,20211200,20210600
2018-08-29 00:00:00,98.765,98.745,98.79,20210900,20211200,20210600
2018-08-30 00:00:00,98.78,98.76,98.805,20210900,20211200,20210600
2018-08-31 00:00:00,98.795,98.775,98.82,20210900,20211200,20210600
2018-09-03 00:00:00,98.815,98.795,98.84,20210900,20211200,20210600
2018-09-04 00:00:00,98.815,98.795,98.84,20210900,20211200,20210600
2018-09-05 00:00:00,98.795,98.775,98.82,20210900,20211200,20210600
2018-09-06 00:00:00,98.815,98.795,98.84,20210900,20211200,20210600
2018-09-07 00:00:00,98.81,98.79,98.835,20210900,20211200,20210600
2018-09-10 00:00:00,98.795,98.775,98.82,20210900,20211200,20210600
2018-09-11 00:00:00,98.75,98.73,98.775,20210900,20211200,20210600
2018-09-12 00:00:00,98.755,98.735,98.78,20210900,20211200,20210600
2018-09-13 00:00:00,98.72,98.7,98.745,20210900,20211200,20210600
2018-09-14 00:00:00,98.695,98.675,98.72,20210900,20211200,20210600
2018-09-17 00:00:00,98.69,98.67,98.715,20210900,20211200,20210600
2018-09-18 00:00:00,98.67,98.645,98.69,20211200,20220300,20210900
2018-09-19 00:00:00,98.6,98.575,98.62,20211200,20220300,20210900
2018-09-20 00:00:00,98.6,98.575,98.63,20211200,20220300,20210900
2018-09-21 00:00:00,98.64,98.615,98.67,20211200,20220300,20210900
2018-09-24 00:00:00,98.6,98.57,98.64,20211200,20220300,20210900
2018-09-25 00:00:00,98.57,98.54,98.61,20211200,20220300,20210900
2018-09-26 00:00:00,98.595,98.565,98.625,20211200,20220300,20210900
2018-09-27 00:00:00,98.585,98.555,98.615,20211200,20220300,20210900
2018-09-28 00:00:00,98.585,98.555,98.615,20211200,20220300,20210900
2018-10-01 00:00:00,98.585,98.56,98.615,20211200,20220300,20210900
2018-10-02 00:00:00,98.615,98.59,98.65,20211200,20220300,20210900
2018-10-03 00:00:00,98.61,98.585,98.645,20211200,20220300,20210900
2018-10-04 00:00:00,98.55,98.52,98.575,20211200,20220300,20210900
2018-10-05 00:00:00,98.5,98.465,98.51,20211200,20220300,20210900
2018-10-08 00:00:00,98.5,98.47,98.51,20211200,20220300,20210900
2018-10-09 00:00:00,98.5,98.47,98.51,20211200,20220300,20210900
2018-10-10 00:00:00,98.47,98.44,98.48,20211200,20220300,20210900
2018-10-11 00:00:00,98.495,98.465,98.5,20211200,20220300,20210900
2018-10-12 00:00:00,98.55,98.525,98.555,20211200,20220300,20210900
2018-10-15 00:00:00,98.57,98.54,98.575,20211200,20220300,20210900
2018-10-16 00:00:00,98.565,98.54,98.57,20211200,20220300,20210900
2018-10-17 00:00:00,98.595,98.57,98.62,20211200,20220300,20210900
2018-10-18 00:00:00,98.59,98.56,98.625,20211200,20220300,20210900
2018-10-19 00:00:00,98.61,98.58,98.64,20211200,20220300,20210900
2018-10-22 00:00:00,98.65,98.62,98.685,20211200,20220300,20210900
2018-10-23 00:00:00,98.685,98.66,98.715,20211200,20220300,20210900
2018-10-24 00:00:00,98.725,98.695,98.755,20211200,20220300,20210900
2018-10-25 00:00:00,98.73,98.7,98.765,20211200,20220300,20210900
2018-10-26 00:00:00,98.81,98.78,98.84,20211200,20220300,20210900
2018-10-29 00:00:00,98.795,98.765,98.82,20211200,20220300,20210900
2018-10-30 00:00:00,98.785,98.755,98.81,20211200,20220300,20210900
2018-10-31 00:00:00,98.725,98.7,98.75,20211200,20220300,20210900
2018-11-01 00:00:00,98.72,98.69,98.745,20211200,20220300,20210900
2018-11-02 00:00:00,98.685,98.655,98.715,20211200,20220300,20210900
2018-11-05 00:00:00,98.68,98.65,98.71,20211200,20220300,20210900
2018-11-06 00:00:00,98.655,98.62,98.69,20211200,20220300,20210900
2018-11-07 00:00:00,98.65,98.62,98.68,20211200,20220300,20210900
2018-11-08 00:00:00,98.6,98.57,98.625,20211200,20220300,20210900
2018-11-09 00:00:00,98.645,98.625,98.67,20211200,20220300,20210900
2018-11-12 00:00:00,98.71,98.69,98.73,20211200,20220300,20210900
2018-11-13 00:00:00,98.69,98.665,98.71,20211200,20220300,20210900
2018-11-14 00:00:00,98.685,98.655,98.71,20211200,20220300,20210900
2018-11-15 00:00:00,98.815,98.795,98.84,20211200,20220300,20210900
2018-11-16 00:00:00,98.775,98.75,98.805,20211200,20220300,20210900
2018-11-19 00:00:00,98.81,98.78,98.835,20211200,20220300,20210900
2018-11-20 00:00:00,98.8,98.78,98.82,20211200,20220300,20210900
2018-11-21 00:00:00,98.795,98.775,98.815,20211200,20220300,20210900
2018-11-22 00:00:00,98.76,98.735,98.785,20211200,20220300,20210900
2018-11-23 00:00:00,98.78,98.755,98.805,20211200,20220300,20210900
2018-11-26 00:00:00,98.775,98.75,98.8,20211200,20220300,20210900
2018-11-27 00:00:00,98.79,98.765,98.81,20211200,20220300,20210900
2018-11-28 00:00:00,98.79,98.765,98.82,20211200,20220300,20210900
2018-11-29 00:00:00,98.815,98.785,98.84,20211200,20220300,20210900
2018-11-30 00:00:00,98.815,98.79,98.83,20211200,20220300,20210900
2018-12-03 00:00:00,98.845,98.825,98.86,20211200,20220300,20210900
2018-12-04 00:00:00,98.855,98.84,98.865,20211200,20220300,20210900
2018-12-05 00:00:00,98.82,98.805,98.835,20211200,20220300,20210900
2018-12-06 00:00:00,98.885,98.875,98.89,20211200,20220300,20210900
2018-12-07 00:00:00,98.87,98.86,98.875,20211200,20220300,20210900
