DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1997-12-02,5673.0,5684.0,5684.0,19980200,19980300,19980300
1997-12-03,5662.0,5674.0,5674.0,19980200,19980300,19980300
1997-12-04,5717.0,5728.0,5728.0,19980200,19980300,19980300
1997-12-05,5636.5,5647.5,5647.5,19980200,19980300,19980300
1997-12-08,5544.0,5555.0,5555.0,19980200,19980300,19980300
1997-12-09,5432.0,5445.0,5445.0,19980200,19980300,19980300
1997-12-10,5397.0,5408.0,5408.0,19980200,19980300,19980300
1997-12-11,5382.0,5393.0,5393.0,19980200,19980300,19980300
1997-12-12,5402.0,5413.0,5413.0,19980200,19980300,19980300
1997-12-15,5265.0,5270.0,5270.0,19980200,19980300,19980300
1997-12-16,5268.0,5271.0,5271.0,19980200,19980300,19980300
1997-12-17,5395.0,5399.0,5399.0,19980200,19980300,19980300
1997-12-18,5362.0,,,19980200,19980300,19980300
1997-12-19,5307.0,5310.0,5310.0,19980200,19980300,19980300
1997-12-22,5325.08,5330.87,5330.87,19980200,19980300,19980300
1997-12-23,5295.08,5300.87,5300.87,19980200,19980300,19980300
1997-12-24,5340.08,5345.45,5345.45,19980200,19980300,19980300
1997-12-29,5357.08,5363.75,5363.75,19980200,19980300,19980300
1997-12-30,5420.93,5428.75,5428.75,19980200,19980300,19980300
1997-12-31,5409.93,5418.15,5418.15,19980200,19980300,19980300
1998-01-05,5368.11,5381.2,5381.2,19980300,19980400,19980400
1998-01-06,5373.42,5386.2,5386.2,19980300,19980400,19980400
1998-01-07,5288.25,5300.2,5300.2,19980300,19980400,19980400
1998-01-08,5297.71,5310.2,5310.2,19980300,19980400,19980400
1998-01-09,5240.91,5255.2,5255.2,19980300,19980400,19980400
1998-01-12,5098.26,5112.0,5112.0,19980300,19980400,19980400
1998-01-13,5226.89,5233.8,5233.8,19980300,19980400,19980400
1998-01-14,5200.85,5210.6,5210.6,19980300,19980400,19980400
1998-01-15,5196.25,5205.6,5205.6,19980300,19980400,19980400
1998-01-16,5180.98,5190.35,5190.35,19980300,19980400,19980400
1998-01-19,5133.18,5144.2,5144.2,19980300,19980400,19980400
1998-01-20,5164.18,5173.9,5173.9,19980300,19980400,19980400
1998-01-21,5172.11,5183.59,5183.59,19980300,19980400,19980400
1998-01-22,5244.71,5252.5,5252.5,19980300,19980400,19980400
1998-01-23,5259.71,5267.22,5267.22,19980300,19980400,19980400
1998-01-26,5233.71,5240.78,5240.78,19980300,19980400,19980400
1998-01-27,5245.79,5250.52,5250.52,19980300,19980400,19980400
1998-01-28,5223.71,5230.36,5230.36,19980300,19980400,19980400
1998-01-29,5213.71,5219.86,5219.86,19980300,19980400,19980400
1998-01-30,5219.93,5230.5,5230.5,19980400,19980500,19980500
1998-02-02,5214.63,5225.5,5225.5,19980400,19980500,19980500
1998-02-03,5233.8,5243.5,5243.5,19980400,19980500,19980500
1998-02-04,5275.0,5281.5,5281.5,19980400,19980500,19980500
1998-02-05,5279.7,5286.0,5286.0,19980400,19980500,19980500
1998-02-06,5279.33,5286.0,5286.0,19980400,19980500,19980500
1998-02-09,5274.22,5280.0,5280.0,19980400,19980500,19980500
1998-02-10,5273.15,5279.0,5279.0,19980400,19980500,19980500
1998-02-11,5333.62,5339.0,5339.0,19980400,19980500,19980500
1998-02-12,5302.59,5310.0,5310.0,19980400,19980500,19980500
1998-02-13,5197.0,5202.0,5202.0,19980400,19980500,19980500
1998-02-16,5208.4,5210.75,5210.75,19980400,19980500,19980500
1998-02-17,5239.0,5240.75,5240.75,19980400,19980500,19980500
1998-02-18,5288.0,5290.5,5290.5,19980400,19980500,19980500
1998-02-19,5284.0,5285.5,5285.5,19980400,19980500,19980500
1998-02-20,5341.93,5340.5,5340.5,19980400,19980500,19980500
1998-02-23,5279.07,5280.38,5280.38,19980400,19980500,19980500
1998-02-24,5279.07,5280.09,5280.09,19980400,19980500,19980500
1998-02-25,5261.0,5260.09,5260.09,19980400,19980500,19980500
1998-02-26,5316.0,5315.09,5315.09,19980400,19980500,19980500
1998-02-27,5326.0,5325.14,5325.14,19980400,19980500,19980500
1998-03-02,5367.0,5365.62,5365.62,19980400,19980500,19980500
1998-03-03,5427.86,5420.5,5420.5,19980500,19980600,19980600
1998-03-04,5402.4,5393.5,5393.5,19980500,19980600,19980600
1998-03-05,5433.5,5424.5,5424.5,19980500,19980600,19980600
1998-03-06,5496.13,5484.5,5484.5,19980500,19980600,19980600
1998-03-09,5539.9,5524.5,5524.5,19980500,19980600,19980600
1998-03-10,5531.43,5515.5,5515.5,19980500,19980600,19980600
1998-03-11,5410.64,5396.5,5396.5,19980500,19980600,19980600
1998-03-12,5305.22,5285.5,5285.5,19980500,19980600,19980600
1998-03-13,5421.3,5396.5,5396.5,19980500,19980600,19980600
1998-03-16,5516.67,5489.5,5489.5,19980500,19980600,19980600
1998-03-17,5460.36,5440.5,5440.5,19980500,19980600,19980600
1998-03-18,5462.96,5445.44,5445.44,19980500,19980600,19980600
1998-03-19,5467.61,5450.38,5450.38,19980500,19980600,19980600
1998-03-20,5489.96,5470.38,5470.38,19980500,19980600,19980600
1998-03-23,5511.64,5490.05,5490.05,19980500,19980600,19980600
1998-03-24,5487.57,5470.57,5470.57,19980500,19980600,19980600
