DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1997-12-02,1132.75,1138.0,1138.0,19980200,19980300,19980300
1997-12-03,1115.5,1120.75,1120.75,19980200,19980300,19980300
1997-12-04,1130.0,1134.25,1134.25,19980200,19980300,19980300
1997-12-05,1124.5,1129.25,1129.25,19980200,19980300,19980300
1997-12-08,1115.25,1120.0,1120.0,19980200,19980300,19980300
1997-12-09,1126.0,1129.5,1129.5,19980200,19980300,19980300
1997-12-10,1164.0,1165.0,1165.0,19980200,19980300,19980300
1997-12-11,1152.0,1154.0,1154.0,19980200,19980300,19980300
1997-12-12,1135.75,1139.0,1139.0,19980200,19980300,19980300
1997-12-15,1120.0,1124.5,1124.5,19980200,19980300,19980300
1997-12-16,1119.5,1123.25,1123.25,19980200,19980300,19980300
1997-12-17,1130.0,1134.0,1134.0,19980200,19980300,19980300
1997-12-18,1153.25,,,19980200,19980300,19980300
1997-12-19,1131.25,1135.25,1135.25,19980200,19980300,19980300
1997-12-22,1104.73,1110.43,1110.43,19980200,19980300,19980300
1997-12-23,1110.52,1116.43,1116.43,19980200,19980300,19980300
1997-12-24,1102.98,1108.23,1108.23,19980200,19980300,19980300
1997-12-29,1104.43,1109.63,1109.63,19980200,19980300,19980300
1997-12-30,1111.77,1116.63,1116.63,19980200,19980300,19980300
1997-12-31,1101.77,1106.54,1106.54,19980200,19980300,19980300
1998-01-05,1080.89,1088.2,1088.2,19980300,19980400,19980400
1998-01-06,1082.74,1089.7,1089.7,19980300,19980400,19980400
1998-01-07,1087.69,1094.45,1094.45,19980300,19980400,19980400
1998-01-08,1118.67,1124.75,1124.75,19980300,19980400,19980400
1998-01-09,1085.36,1091.75,1091.75,19980300,19980400,19980400
1998-01-12,1074.02,1080.25,1080.25,19980300,19980400,19980400
1998-01-13,1121.15,1126.9,1126.9,19980300,19980400,19980400
1998-01-14,1138.89,1144.8,1144.8,19980300,19980400,19980400
1998-01-15,1128.92,1134.1,1134.1,19980300,19980400,19980400
1998-01-16,1149.04,1154.01,1154.01,19980300,19980400,19980400
1998-01-19,1112.04,1117.5,1117.5,19980300,19980400,19980400
