DATE_TIME,current_contract,next_contract,carry_contract
2023-06-30 08:00:00,20230800,20230900,20230900
2023-07-19 09:00:00,20230900,20231000,20231000
2023-08-11 23:00:01,20231000,20231100,20231100
2023-09-20 15:00:02,20231100,20231200,20231200
2023-10-20 15:00:02,20231200,20240100,20240100
2023-11-10 15:00:02,20240100,20240200,20240200
2023-12-12 15:00:01,20240200,20240300,20240300
2024-01-19 15:00:01,20240300,20240400,20240400
2024-02-23 15:00:01,20240400,20240500,20240500
2024-03-20 15:00:01,20240500,20240600,20240600
2024-07-08 08:00:00,20240600,20240700,20240700
