DATE_TIME,current_contract,next_contract,carry_contract
2018-01-24 01:00:00,20180200,20180300,20180300
2018-02-21 13:00:00,20180300,20180400,20180400
2018-03-23 20:00:00,20180400,20180500,20180500
2018-04-23 03:00:00,20180500,20180600,20180600
2018-05-24 11:00:00,20180600,20180700,20180700
2018-06-25 09:00:00,20180700,20180800,20180800
2018-07-24 01:00:00,20180800,20180900,20180900
2018-08-24 19:00:00,20180900,20181000,20181000
2018-09-21 08:00:00,20181000,20181100,20181100
2018-10-24 05:00:00,20181100,20181200,20181200
2018-11-23 05:00:00,20181200,20190100,20190100
2018-12-24 01:00:00,20190100,20190200,20190200
2019-01-24 10:00:00,20190200,20190300,20190300
2019-02-21 05:00:00,20190300,20190400,20190400
2019-03-25 02:00:00,20190400,20190500,20190500
2019-04-23 05:00:00,20190500,20190600,20190600
2019-05-24 02:00:00,20190600,20190700,20190700
2019-06-24 00:00:00,20190700,20190800,20190800
2019-07-24 01:00:00,20190800,20190900,20190900
2019-08-23 17:00:00,20190900,20191000,20191000
2019-09-23 01:00:00,20191000,20191100,20191100
2019-10-24 01:00:00,20191100,20191200,20191200
2019-11-22 02:00:00,20191200,20200100,20200100
2019-12-24 10:00:00,20200100,20200200,20200200
2020-01-24 01:00:00,20200200,20200300,20200300
2020-02-21 03:00:00,20200300,20200400,20200400
2020-03-24 02:00:00,20200400,20200500,20200500
2020-04-23 01:00:00,20200500,20200600,20200600
2020-05-25 01:00:00,20200600,20200700,20200700
2020-06-23 03:00:00,20200700,20200800,20200800
2020-07-24 01:00:00,20200800,20200900,20200900
2020-08-24 01:00:00,20200900,20201000,20201000
2020-09-23 14:00:00,20201000,20201100,20201100
2020-10-23 04:00:00,20201100,20201200,20201200
2020-11-23 01:00:00,20201200,20210100,20210100
2020-12-24 01:00:00,20210100,20210200,20210200
2021-01-25 00:00:00,20210200,20210300,20210300
2021-02-22 00:00:00,20210300,20210400,20210400
2021-03-24 01:00:00,20210400,20210500,20210500
2021-05-17 20:00:01,20210500,20210600,20210600
2021-06-10 20:00:01,20210600,20210700,20210700
2021-08-06 07:00:02,20210700,20210800,20210800
2021-08-26 18:00:01,20210800,20210900,20210900
2021-09-20 17:00:01,20210900,20211000,20211000
2021-11-02 17:00:02,20211000,20211100,20211100
2021-11-26 17:00:02,20211100,20211200,20211200
2021-12-10 17:00:02,20211200,20220100,20220100
2022-01-21 17:00:01,20220100,20220200,20220200
2022-02-11 17:00:01,20220200,20220300,20220300
2022-03-01 17:00:01,20220300,20220400,20220400
2022-04-11 17:00:01,20220400,20220500,20220500
2022-05-16 17:00:01,20220500,20220600,20220600
2022-06-15 17:00:01,20220600,20220700,20220700
2022-07-08 17:00:01,20220700,20220800,20220800
2022-07-18 17:00:01,20220800,20220900,20220900
2022-09-05 17:00:02,20220900,20221000,20221000
2022-10-10 17:00:01,20221000,20221100,20221100
2022-11-14 18:00:01,20221100,20221200,20221200
2022-12-05 17:00:02,20221200,20230100,20230100
2023-01-06 14:30:01,20230100,20230200,20230200
2023-01-26 23:00:01,20230200,20230300,20230300
2023-03-13 20:00:02,20230300,20230400,20230400
2023-05-01 20:00:02,20230400,20230500,20230500
2023-05-23 20:00:02,20230500,20230600,20230600
2023-06-28 20:00:02,20230600,20230700,20230700
2023-07-28 19:00:02,20230700,20230800,20230800
2023-08-11 23:00:01,20230800,20230900,20230900
2023-09-01 20:00:02,20230900,20231000,20231000
2023-10-20 20:00:02,20231000,20231100,20231100
2023-11-16 20:00:02,20231100,20231200,20231200
2023-12-21 20:00:01,20231200,20240100,20240100
2024-01-19 20:00:01,20240100,20240200,20240200
2024-02-23 20:00:01,20240200,20240300,20240300
2024-03-20 20:00:01,20240300,20240400,20240400
2024-04-12 23:00:00,20240400,20240500,20240500
2024-05-13 23:00:00,20240500,20240600,20240600
2024-06-12 23:00:00,20240600,20240700,20240700
2024-07-12 23:00:00,20240700,20240800,20240800
2024-08-12 23:00:00,20240800,20240900,20240900
