DATE_TIME,current_contract,next_contract,carry_contract
2013-02-13 18:00:00,20130200,20130400,20130400
2013-04-17 13:00:00,20130400,20130600,20130600
2013-06-11 20:00:00,20130600,20130800,20130800
2013-08-13 15:00:00,20130800,20131000,20131000
2013-10-15 15:00:00,20131000,20131200,20131200
2013-12-18 16:00:00,20131200,20140200,20140200
2014-02-11 19:00:00,20140200,20140400,20140400
2014-04-15 15:00:00,20140400,20140600,20140600
2014-06-18 18:00:00,20140600,20140800,20140800
2014-08-13 13:00:00,20140800,20141000,20141000
2014-10-13 17:00:00,20141000,20141200,20141200
2014-12-16 14:00:00,20141200,20150200,20150200
2015-02-12 23:00:00,20150200,20150400,20150400
2015-04-14 15:00:00,20150400,20150600,20150600
2015-06-17 12:00:00,20150600,20150800,20150800
2015-08-12 13:00:00,20150800,20151000,20151000
2015-10-13 17:00:00,20151000,20151200,20151200
2015-12-14 14:00:00,20151200,20160200,20160200
2016-02-16 18:00:00,20160200,20160400,20160400
2016-04-11 17:00:00,20160400,20160600,20160600
2016-06-13 14:00:00,20160600,20160800,20160800
2016-08-16 13:00:00,20160800,20161000,20161000
2016-10-11 14:00:00,20161000,20161200,20161200
2016-12-12 17:00:00,20161200,20170200,20170200
2017-02-10 14:00:00,20170200,20170400,20170400
2017-04-12 13:00:00,20170400,20170600,20170600
2017-06-12 15:00:00,20170600,20170800,20170800
2017-08-14 14:00:00,20170800,20171000,20171000
2017-10-16 17:00:00,20171000,20171200,20171200
2017-12-11 19:00:00,20171200,20180200,20180200
2018-02-09 19:00:00,20180200,20180400,20180400
2018-04-18 12:00:00,20180400,20180600,20180600
2018-06-11 18:00:00,20180600,20180800,20180800
2018-08-15 13:00:00,20180800,20181000,20181000
2018-10-16 12:00:00,20181000,20181200,20181200
2018-12-11 18:00:00,20181200,20190200,20190200
2019-02-11 15:00:00,20190200,20190400,20190400
2019-04-15 14:00:00,20190400,20190600,20190600
2019-06-11 14:00:00,20190600,20190800,20190800
2019-08-13 15:00:00,20190800,20191000,20191000
2019-10-11 18:00:00,20191000,20191200,20191200
2019-12-16 19:00:00,20191200,20200200,20200200
2020-02-11 15:00:00,20200200,20200400,20200400
2020-04-14 16:00:00,20200400,20200600,20200600
2020-06-18 13:00:00,20200600,20200800,20200800
2020-08-12 13:00:00,20200800,20201000,20201000
2020-10-13 19:00:00,20201000,20201200,20201200
2020-12-16 15:00:00,20201200,20210200,20210200
2021-02-12 21:00:00,20210200,20210400,20210400
2021-04-14 20:00:00,20210400,20210600,20210600
2021-06-16 19:00:00,20210600,20210800,20210800
2021-08-17 16:00:00,20210800,20211000,20211000
2021-10-14 23:00:00,20211000,20211200,20211200
2021-12-14 23:00:01,20211200,20220200,20220200
2022-02-10 23:00:02,20220200,20220400,20220400
2022-04-11 23:00:02,20220400,20220600,20220600
2022-06-10 17:00:01,20220600,20220800,20220800
2022-08-12 23:00:02,20220800,20221000,20221000
2022-10-06 23:00:01,20221000,20221200,20221200
2022-12-09 23:00:01,20221200,20230200,20230200
2023-02-08 23:00:01,20230200,20230400,20230400
2023-04-11 23:00:01,20230400,20230600,20230600
2023-06-13 23:00:01,20230600,20230800,20230800
2023-07-27 23:00:01,20230800,20231000,20231000
2023-10-19 23:00:02,20231000,20231200,20231200
2023-12-11 23:00:01,20231200,20240200,20240200
2024-02-13 23:00:01,20240200,20240400,20240400
2024-03-28 23:00:00,20240400,20240600,20240600
