DATE_TIME,current_contract,next_contract,carry_contract
2020-09-22 23:00:00,20201200,20210100,20201100
2020-10-22 23:00:00,20210100,20210200,20201200
2020-11-23 23:00:00,20210200,20210300,20210100
2020-12-21 23:00:00,20210300,20210400,20210200
2021-01-20 23:00:00,20210400,20210500,20210300
2021-02-19 23:00:00,20210500,20210600,20210400
2021-03-23 23:00:00,20210600,20210700,20210500
2021-04-21 23:00:00,20210700,20210800,20210600
2021-05-24 23:00:00,20210800,20210900,20210700
2021-06-22 23:00:00,20210900,20211000,20210800
2021-07-22 23:00:00,20211000,20211100,20210900
2021-08-23 23:00:00,20211100,20211200,20211000
2021-09-21 17:00:01,20211200,20220100,20211100
2021-11-12 17:00:01,20220100,20220200,20211200
2021-11-23 17:00:01,20220200,20220300,20220100
2021-12-10 17:00:02,20220300,20220400,20220200
2022-01-18 17:00:01,20220400,20220500,20220300
2022-02-17 17:00:01,20220500,20220600,20220400
2022-03-10 18:00:01,20220600,20220700,20220500
2022-04-11 17:00:01,20220700,20220800,20220600
2022-05-09 17:00:01,20220800,20220900,20220700
2022-06-09 17:00:01,20220900,20221000,20220800
2022-07-08 17:00:02,20221000,20221100,20220900
2022-07-18 17:00:02,20221100,20221200,20221000
2022-09-02 23:00:01,20221200,20230100,20221100
2022-09-30 17:00:02,20230100,20230200,20221200
2022-11-07 18:00:02,20230200,20230300,20230100
2022-12-05 17:00:01,20230300,20230400,20230200
2023-01-06 14:30:01,20230400,20230500,20230300
2023-01-26 23:00:01,20230500,20230600,20230400
2023-03-02 20:00:02,20230600,20230700,20230500
2023-04-12 20:00:02,20230700,20230800,20230600
2023-05-19 20:00:02,20230800,20230900,20230700
2023-06-09 20:00:02,20230900,20231000,20230800
2023-07-10 20:00:02,20231000,20231100,20230900
2023-07-25 20:00:02,20231100,20231200,20231000
2023-09-12 20:00:02,20231200,20240100,20231100
2023-10-13 20:00:02,20240100,20240200,20231200
2023-11-02 20:00:02,20240200,20240300,20240100
2023-12-21 20:00:01,20240300,20240400,20240200
2024-01-26 20:00:01,20240400,20240500,20240300
2024-02-14 20:00:01,20240500,20240600,20240400
2024-03-14 20:00:01,20240600,20240700,20240500
2024-06-27 23:00:00,20240700,20240800,20240600
