DATE_TIME,current_contract,next_contract,carry_contract
2005-11-08 23:00:00,20051200,20060100,20051100
2005-12-08 23:00:00,20060100,20060200,20051200
2006-01-09 23:00:00,20060200,20060300,20060100
2006-02-06 23:00:00,20060300,20060400,20060200
2006-03-08 23:00:00,20060400,20060500,20060300
2006-04-07 23:00:00,20060500,20060600,20060400
2006-05-09 23:00:00,20060600,20060700,20060500
2006-06-07 23:00:00,20060700,20060800,20060600
2006-07-10 23:00:00,20060800,20060900,20060700
2006-08-08 23:00:00,20060900,20061000,20060800
2006-09-07 23:00:00,20061000,20061100,20060900
2006-10-09 23:00:00,20061100,20061200,20061000
2006-11-07 23:00:00,20061200,20070100,20061100
2006-12-08 23:00:00,20070100,20070200,20061200
2007-01-09 23:00:00,20070200,20070300,20070100
2007-02-06 23:00:00,20070300,20070400,20070200
2007-03-08 23:00:00,20070400,20070500,20070300
2007-04-09 23:00:00,20070500,20070600,20070400
2007-05-08 23:00:00,20070600,20070700,20070500
2007-06-07 23:00:00,20070700,20070800,20070600
2007-07-09 23:00:00,20070800,20070900,20070700
2007-08-08 23:00:00,20070900,20071000,20070800
2007-09-07 23:00:00,20071000,20071100,20070900
2007-10-09 23:00:00,20071100,20071200,20071000
2007-11-07 23:00:00,20071200,20080100,20071100
2007-12-10 23:00:00,20080100,20080200,20071200
2008-01-08 23:00:00,20080200,20080300,20080100
2008-02-06 23:00:00,20080300,20080400,20080200
2008-03-10 23:00:00,20080400,20080500,20080300
2008-04-08 23:00:00,20080500,20080600,20080400
2008-05-08 23:00:00,20080600,20080700,20080500
2008-06-09 23:00:00,20080700,20080800,20080600
2008-07-08 23:00:00,20080800,20080900,20080700
2008-08-08 23:00:00,20080900,20081000,20080800
2008-09-08 23:00:00,20081000,20081100,20080900
2008-10-08 23:00:00,20081100,20081200,20081000
2008-11-07 23:00:00,20081200,20090100,20081100
2008-12-09 23:00:00,20090100,20090200,20081200
2009-01-08 23:00:00,20090200,20090300,20090100
2009-02-05 23:00:00,20090300,20090400,20090200
2009-03-09 23:00:00,20090400,20090500,20090300
2009-04-07 23:00:00,20090500,20090600,20090400
2009-05-08 23:00:00,20090600,20090700,20090500
2009-06-08 23:00:00,20090700,20090800,20090600
2009-07-08 23:00:00,20090800,20090900,20090700
2009-08-10 23:00:00,20090900,20091000,20090800
2009-09-08 23:00:00,20091000,20091100,20090900
2009-10-08 23:00:00,20091100,20091200,20091000
2009-11-09 23:00:00,20091200,20100100,20091100
2009-12-08 23:00:00,20100100,20100200,20091200
