DATE_TIME,current_contract,next_contract,carry_contract
2021-08-30 12:00:00,20210900,20211200,20211200
2021-11-30 15:00:00,20211200,20220300,20220300
2022-02-28 15:00:00,20220300,20220600,20220600
2022-05-31 16:00:00,20220600,20220900,20220900
2022-08-30 12:00:00,20220900,20221200,20221200
2022-11-29 15:00:00,20221200,20230300,20230300
2023-03-01 21:00:00,20230300,20230600,20230600
2023-05-31 15:00:00,20230600,20230900,20230900
2023-09-01 23:00:01,20230900,20231200,20231200
2023-11-27 20:00:01,20231200,20240300,20240300
2024-02-23 20:00:01,20240300,20240600,20240600
2024-03-28 23:00:00,20240600,20240900,20240900
