DATE_TIME,current_contract,next_contract,carry_contract
1978-03-30 23:00:00,19781100,19790100,19780300
1978-11-16 23:00:00,19790100,19790300,19781100
1979-01-15 23:00:00,19790300,19791100,19790100
1979-03-26 23:00:00,19791100,19800100,19790300
1979-11-16 23:00:00,19800100,19800300,19791100
1980-01-15 23:00:00,19800300,19801100,19800100
1980-04-01 23:00:00,19801100,19810100,19800300
1980-11-17 23:00:00,19810100,19810300,19801100
1981-01-14 23:00:00,19810300,19811100,19810100
1981-03-23 23:00:00,19811100,19820100,19810300
1981-11-17 23:00:00,19820100,19820300,19811100
1982-01-14 23:00:00,19820300,19821100,19820100
1982-09-16 23:00:00,19821100,19830100,19820300
1982-11-16 23:00:00,19830100,19830300,19821100
1983-01-14 23:00:00,19830300,19831100,19830100
1983-03-23 23:00:00,19831100,19840100,19830300
1983-11-16 23:00:00,19840100,19840300,19831100
1984-01-16 23:00:00,19840300,19841100,19840100
1984-03-22 23:00:00,19841100,19850100,19840300
1984-11-16 23:00:00,19850100,19850300,19841100
1985-01-15 23:00:00,19850300,19851100,19850100
1985-03-21 23:00:00,19851100,19860100,19850300
1985-11-18 23:00:00,19860100,19860300,19851100
1986-01-14 23:00:00,19860300,19861100,19860100
1986-03-20 23:00:00,19861100,19870100,19860300
1986-11-17 23:00:00,19870100,19870300,19861100
1987-01-14 23:00:00,19870300,19871100,19870100
1987-03-23 23:00:00,19871100,19880100,19870300
1987-11-17 23:00:00,19880100,19880300,19871100
1988-01-15 23:00:00,19880300,19881100,19880100
1988-03-23 23:00:00,19881100,19890100,19880300
1988-11-16 23:00:00,19890100,19890300,19881100
1989-03-29 23:00:00,19890300,19891100,19890100
1989-05-01 23:00:00,19891100,19900100,19890300
1989-11-16 23:00:00,19900100,19900300,19891100
1990-01-15 23:00:00,19900300,19901100,19900100
1990-03-22 23:00:00,19901100,19910100,19900300
1990-11-16 23:00:00,19910100,19910300,19901100
1991-01-15 23:00:00,19910300,19911100,19910100
1991-03-20 23:00:00,19911100,19920100,19910300
1991-11-18 23:00:00,19920100,19920300,19911100
1992-01-15 23:00:00,19920300,19921100,19920100
1992-03-23 23:00:00,19921100,19930100,19920300
1992-11-17 23:00:00,19930100,19930300,19921100
1993-01-14 23:00:00,19930300,19931100,19930100
1993-03-23 23:00:00,19931100,19940100,19930300
1993-11-16 23:00:00,19940100,19940300,19931100
1994-01-14 23:00:00,19940300,19941100,19940100
1994-03-23 23:00:00,19941100,19950100,19940300
1994-11-16 23:00:00,19950100,19950300,19941100
1995-01-16 23:00:00,19950300,19951100,19950100
1995-03-23 23:00:00,19951100,19960100,19950300
1995-11-16 23:00:00,19960100,19960300,19951100
1996-01-16 23:00:00,19960300,19961100,19960100
1996-03-21 23:00:00,19961100,19970100,19960300
1996-11-18 23:00:00,19970100,19970300,19961100
1997-01-14 23:00:00,19970300,19970500,19970100
1997-03-17 23:00:00,19970500,19970700,19970300
1997-05-16 23:00:00,19970700,19971100,19970500
1997-07-23 23:00:00,19971100,19980100,19970700
1997-11-17 23:00:00,19980100,19980300,19971100
1998-01-14 23:00:00,19980300,19980500,19980100
1998-03-17 23:00:00,19980500,19980700,19980300
1998-05-19 23:00:00,19980700,19981100,19980500
1998-07-23 23:00:00,19981100,19990100,19980700
1998-11-17 23:00:00,19990100,19990300,19981100
1999-01-14 23:00:00,19990300,19990500,19990100
1999-03-16 23:00:00,19990500,19990700,19990300
1999-05-17 23:00:00,19990700,19991100,19990500
