DATE_TIME,current_contract,next_contract,carry_contract
2023-06-30 13:00:00,20230800,20230900,20230900
2023-07-12 11:00:00,20230900,20231000,20231000
2023-08-22 14:00:02,20231000,20231100,20231100
2023-09-20 15:00:02,20231100,20231200,20231200
2023-10-20 15:00:02,20231200,20240100,20240100
2023-11-20 15:00:02,20240100,20240200,20240200
2023-11-29 15:00:01,20240200,20240300,20240300
2024-01-19 15:00:01,20240300,20240400,20240400
2024-02-14 15:00:01,20240400,20240500,20240500
2024-03-20 15:00:01,20240500,20240600,20240600
2024-07-08 09:00:00,20240600,20240700,20240700
