DATE_TIME,current_contract,next_contract,carry_contract
1977-05-04 23:00:00,19770500,19770800,19770400
1977-06-03 23:00:00,19770800,19770900,19770500
1977-07-06 23:00:00,19770900,19771000,19770800
1977-08-03 23:00:00,19771000,19771100,19770900
1977-10-04 23:00:00,19771100,19780100,19771000
1977-12-02 23:00:00,19780100,19780300,19771100
1978-01-04 23:00:00,19780300,19780400,19780100
1978-02-01 23:00:00,19780400,19780500,19780300
1978-05-04 23:00:00,19780500,19780800,19780400
1978-06-05 23:00:00,19780800,19780900,19780500
1978-07-05 23:00:00,19780900,19781000,19780800
1978-08-03 23:00:00,19781000,19781100,19780900
1978-10-04 23:00:00,19781100,19790100,19781000
1978-12-04 23:00:00,19790100,19790300,19781100
1979-01-03 23:00:00,19790300,19790400,19790100
1979-02-01 23:00:00,19790400,19790500,19790300
1979-05-04 23:00:00,19790500,19790800,19790400
1979-06-05 23:00:00,19790800,19790900,19790500
1979-07-05 23:00:00,19790900,19791000,19790800
1979-08-03 23:00:00,19791000,19791100,19790900
1979-10-04 23:00:00,19791100,19800100,19791000
1979-12-04 23:00:00,19800100,19800300,19791100
1980-01-03 23:00:00,19800300,19800400,19800100
1980-02-04 23:00:00,19800400,19800500,19800300
1980-05-06 23:00:00,19800500,19800800,19800400
1980-06-03 23:00:00,19800800,19800900,19800500
1980-07-07 23:00:00,19800900,19801000,19800800
1980-08-05 23:00:00,19801000,19801100,19800900
1980-10-06 23:00:00,19801100,19810100,19801000
1980-12-02 23:00:00,19810100,19810300,19801100
1981-01-02 23:00:00,19810300,19810400,19810100
1981-02-03 23:00:00,19810400,19810500,19810300
1981-05-05 23:00:00,19810500,19810800,19810400
1981-06-03 23:00:00,19810800,19810900,19810500
1981-07-07 23:00:00,19810900,19811000,19810800
1981-08-04 23:00:00,19811000,19811100,19810900
1981-10-06 23:00:00,19811100,19820100,19811000
1981-12-02 23:00:00,19820100,19820300,19811100
1982-01-04 23:00:00,19820300,19820400,19820100
1982-02-02 23:00:00,19820400,19820500,19820300
1982-05-04 23:00:00,19820500,19820800,19820400
1982-06-03 23:00:00,19820800,19820900,19820500
1982-07-07 23:00:00,19820900,19821000,19820800
1982-08-03 23:00:00,19821000,19821100,19820900
1982-10-05 23:00:00,19821100,19830100,19821000
1982-12-02 23:00:00,19830100,19830300,19821100
1983-01-03 23:00:00,19830300,19830400,19830100
1983-02-01 23:00:00,19830400,19830500,19830300
1983-05-04 23:00:00,19830500,19830800,19830400
1983-06-03 23:00:00,19830800,19830900,19830500
1983-07-06 23:00:00,19830900,19831000,19830800
1983-08-03 23:00:00,19831000,19831100,19830900
1983-10-04 23:00:00,19831100,19840100,19831000
1983-12-05 23:00:00,19840100,19840300,19831100
1984-01-04 23:00:00,19840300,19840400,19840100
1984-02-02 23:00:00,19840400,19840500,19840300
1984-05-04 23:00:00,19840500,19840800,19840400
1984-06-05 23:00:00,19840800,19840900,19840500
1984-07-05 23:00:00,19840900,19841000,19840800
1984-08-03 23:00:00,19841000,19841100,19840900
1984-10-04 23:00:00,19841100,19850100,19841000
1984-12-04 23:00:00,19850100,19850300,19841100
1985-01-02 23:00:00,19850300,19850400,19850100
1985-02-01 23:00:00,19850400,19850500,19850300
1985-05-06 23:00:00,19850500,19850800,19850400
1985-06-04 23:00:00,19850800,19850900,19850500
1985-07-05 23:00:00,19850900,19851000,19850800
1985-08-05 23:00:00,19851000,19851100,19850900
1985-10-04 23:00:00,19851100,19860100,19851000
1985-12-03 23:00:00,19860100,19860300,19851100
1986-01-02 23:00:00,19860300,19860400,19860100
1986-02-03 23:00:00,19860400,19860500,19860300
1986-05-06 23:00:00,19860500,19860800,19860400
1986-06-03 23:00:00,19860800,19860900,19860500
1986-07-07 23:00:00,19860900,19861000,19860800
1986-08-05 23:00:00,19861000,19861100,19860900
1986-10-06 23:00:00,19861100,19870100,19861000
1986-12-02 23:00:00,19870100,19870300,19861100
1987-01-02 23:00:00,19870300,19870400,19870100
1987-02-03 23:00:00,19870400,19870500,19870300
1987-05-05 23:00:00,19870500,19870800,19870400
1987-06-03 23:00:00,19870800,19870900,19870500
1987-07-07 23:00:00,19870900,19871000,19870800
1987-08-04 23:00:00,19871000,19871100,19870900
1987-10-06 23:00:00,19871100,19880100,19871000
1987-12-03 23:00:00,19880100,19880300,19871100
1988-01-05 23:00:00,19880300,19880400,19880100
1988-02-02 23:00:00,19880400,19880500,19880300
1988-05-04 23:00:00,19880500,19880800,19880400
1988-06-03 23:00:00,19880800,19880900,19880500
1988-07-06 23:00:00,19880900,19881000,19880800
1988-08-03 23:00:00,19881000,19881100,19880900
1988-10-04 23:00:00,19881100,19890100,19881000
1988-12-02 23:00:00,19890100,19890300,19881100
1989-01-04 23:00:00,19890300,19890400,19890100
1989-02-01 23:00:00,19890400,19890500,19890300
1989-05-04 23:00:00,19890500,19890800,19890400
1989-06-05 23:00:00,19890800,19890900,19890500
1989-07-05 23:00:00,19890900,19891000,19890800
