DATE_TIME,current_contract,next_contract,carry_contract
2021-04-07 23:00:00,20210400,20210500,20210500
2021-05-07 23:00:00,20210500,20210600,20210600
2021-06-09 23:00:00,20210600,20210700,20210700
2021-07-07 23:00:00,20210700,20210800,20210800
2021-08-09 23:00:00,20210800,20210900,20210900
2021-09-13 23:00:00,20210900,20211000,20211000
2021-10-19 23:00:02,20211000,20211100,20211100
2021-11-15 15:00:01,20211100,20211200,20211200
2021-12-02 17:00:01,20211200,20220100,20220100
2022-01-11 18:00:02,20220100,20220200,20220200
2022-01-21 19:00:01,20220200,20220300,20220300
2022-02-23 18:00:01,20220300,20220400,20220400
2022-04-07 19:00:02,20220400,20220500,20220500
2022-04-22 23:00:01,20220500,20220600,20220600
2022-05-23 18:00:01,20220600,20220700,20220700
2022-06-29 17:00:01,20220700,20220800,20220800
2022-08-12 23:00:02,20220800,20220900,20220900
2022-08-26 23:00:01,20220900,20221000,20221000
2022-09-28 23:00:01,20221000,20221100,20221100
2022-10-25 17:00:02,20221100,20221200,20221200
2022-12-06 17:00:02,20221200,20230100,20230100
2023-01-05 23:00:01,20230100,20230200,20230200
2023-01-25 23:00:01,20230200,20230300,20230300
2023-03-07 23:00:01,20230300,20230400,20230400
2023-04-18 23:00:02,20230400,20230500,20230500
2023-04-18 23:00:03,20230500,20230600,20230600
2023-05-22 23:00:01,20230600,20230700,20230700
2023-06-21 17:00:02,20230700,20230800,20230800
2023-07-24 23:00:01,20230800,20230900,20230900
2023-09-12 14:30:02,20230900,20231000,20231000
2023-10-19 23:00:02,20231000,20231100,20231100
2023-10-27 17:00:02,20231100,20231200,20231200
2023-11-24 23:00:01,20231200,20240100,20240100
2023-12-21 17:00:01,20240100,20240200,20240200
2024-01-26 19:00:01,20240200,20240300,20240300
2024-02-23 14:30:01,20240300,20240400,20240400
2024-03-20 18:00:01,20240400,20240500,20240500
2024-06-14 23:00:00,20240500,20240600,20240600
