DATE_TIME,current_contract,next_contract,carry_contract
1975-06-03 23:00:00,19750700,19760600,19750600
1975-07-21 23:00:00,19760600,19760700,19750700
1976-05-20 23:00:00,19760700,19770600,19760600
1976-07-21 23:00:00,19770600,19770700,19760700
1977-05-20 23:00:00,19770700,19780600,19770600
1977-07-21 23:00:00,19780600,19780700,19770700
1978-05-19 23:00:00,19780700,19790600,19780600
1978-07-21 23:00:00,19790600,19790700,19780700
1979-05-21 23:00:00,19790700,19800600,19790600
1979-07-23 23:00:00,19800600,19800700,19790700
1980-05-21 23:00:00,19800700,19810600,19800600
1980-07-21 23:00:00,19810600,19810700,19800700
1981-05-21 23:00:00,19810700,19820600,19810600
1981-07-21 23:00:00,19820600,19820700,19810700
1982-05-20 23:00:00,19820700,19830600,19820600
1982-07-21 23:00:00,19830600,19830700,19820700
1983-05-20 23:00:00,19830700,19840600,19830600
1983-07-21 23:00:00,19840600,19840700,19830700
1984-05-21 23:00:00,19840700,19850600,19840600
1984-07-23 23:00:00,19850600,19850700,19840700
1985-05-21 23:00:00,19850700,19860600,19850600
1985-07-22 23:00:00,19860600,19860700,19850700
1986-05-21 23:00:00,19860700,19870600,19860600
1986-07-21 23:00:00,19870600,19870700,19860700
1987-05-21 23:00:00,19870700,19880600,19870600
1987-07-21 23:00:00,19880600,19880700,19870700
1988-05-20 23:00:00,19880700,19890600,19880600
1988-07-21 23:00:00,19890600,19890700,19880700
1989-05-19 23:00:00,19890700,19900600,19890600
1989-07-21 23:00:00,19900600,19900700,19890700
1990-05-21 23:00:00,19900700,19910600,19900600
1990-07-23 23:00:00,19910600,19910700,19900700
1991-05-21 23:00:00,19910700,19920600,19910600
1991-07-25 23:00:00,19920600,19920700,19910700
1992-05-21 23:00:00,19920700,19930600,19920600
1992-07-27 23:00:00,19930600,19930700,19920700
1993-05-20 23:00:00,19930700,19940600,19930600
1993-07-26 23:00:00,19940600,19940700,19930700
1994-05-20 23:00:00,19940700,19950600,19940600
1994-07-25 23:00:00,19950600,19950700,19940700
1995-05-19 23:00:00,19950700,19960600,19950600
1995-07-25 23:00:00,19960600,19960700,19950700
1996-05-21 23:00:00,19960700,19970600,19960600
1996-07-25 23:00:00,19970600,19970700,19960700
1997-05-21 23:00:00,19970700,19980600,19970600
1997-07-21 23:00:00,19980600,19980700,19970700
1998-05-21 23:00:00,19980700,19990600,19980600
1998-07-16 23:00:00,19990600,19990700,19980700
1999-05-20 23:00:00,19990700,20000600,19990600
1999-07-16 23:00:00,20000600,20000700,19990700
2000-05-19 23:00:00,20000700,20010600,20000600
2000-07-18 23:00:00,20010600,20010700,20000700
2001-06-08 23:00:00,20010700,20020600,20010600
2001-07-17 23:00:00,20020600,20020700,20010700
2002-05-30 23:00:00,20020700,20030600,20020600
2002-07-16 23:00:00,20030600,20030700,20020700
2003-05-21 23:00:00,20030700,20040600,20030600
2003-07-16 23:00:00,20040600,20040700,20030700
2004-05-24 23:00:00,20040700,20050600,20040600
2004-07-16 23:00:00,20050600,20050700,20040700
2005-05-23 23:00:00,20050700,20060600,20050600
2005-07-18 23:00:00,20060600,20060700,20050700
2006-05-24 23:00:00,20060700,20070600,20060600
2006-07-18 23:00:00,20070600,20070700,20060700
2007-05-23 23:00:00,20070700,20080600,20070600
2007-07-17 23:00:00,20080600,20080700,20070700
2008-05-21 23:00:00,20080700,20090600,20080600
2008-07-16 23:00:00,20090600,20090700,20080700
2009-05-21 23:00:00,20090700,20100600,20090600
2009-07-16 23:00:00,20100600,20100700,20090700
2010-05-20 23:00:00,20100700,20110600,20100600
2010-07-20 23:00:00,20110600,20110700,20100700
2011-05-20 23:00:00,20110700,20120600,20110600
2011-07-18 23:00:00,20120600,20120700,20110700
2012-05-21 23:00:00,20120700,20130600,20120600
2012-07-19 23:00:00,20130600,20130700,20120700
2013-05-21 13:00:00,20130700,20140600,20130600
2013-07-18 03:00:00,20140600,20140700,20130700
2014-05-21 01:00:00,20140700,20150600,20140600
2014-07-15 16:00:00,20150600,20150700,20140700
2015-05-21 13:00:00,20150700,20150800,20150600
2015-06-19 13:00:00,20150800,20151000,20150700
2015-08-14 13:00:00,20151000,20151200,20150800
2015-10-14 13:00:00,20151200,20160200,20151000
2015-12-14 16:00:00,20160200,20160400,20151200
2016-02-12 16:00:00,20160400,20160600,20160200
2016-04-20 16:00:00,20160600,20160700,20160500
2016-05-20 13:00:00,20160700,20160800,20160600
2016-06-21 13:00:00,20160800,20161000,20160700
2016-08-12 13:00:00,20161000,20161200,20160800
