DATE_TIME,current_contract,next_contract,carry_contract
2022-09-28 23:00:00,20221100,20230100,20230100
2022-11-07 17:00:02,20230100,20230300,20230300
2022-11-29 15:00:02,20230300,20230500,20230500
2023-03-13 20:00:02,20230500,20230700,20230700
2023-05-23 19:00:01,20230700,20230900,20230900
2023-07-10 20:00:01,20230900,20231100,20231100
2023-09-22 20:00:01,20231100,20240100,20240100
2023-12-12 20:00:01,20240100,20240300,20240300
2024-01-24 20:00:01,20240300,20240500,20240500
2024-03-20 20:00:01,20240500,20240700,20240700
2024-07-05 23:00:00,20240700,20240900,20240900
