DATE_TIME,current_contract,next_contract,carry_contract
2022-08-22 23:00:00,20220800,20220900,20220900
2022-09-21 23:00:00,20220900,20221000,20221000
2022-10-21 23:00:00,20221000,20221100,20221100
2022-11-22 23:00:00,20221100,20221200,20221200
2022-12-21 23:00:00,20221200,20230100,20230100
2023-01-23 23:00:00,20230100,20230200,20230200
2023-02-21 23:00:00,20230200,20230300,20230300
2023-03-21 23:00:00,20230300,20230400,20230400
2023-04-21 23:00:00,20230400,20230500,20230500
2023-05-22 23:00:00,20230500,20230600,20230600
2023-06-20 02:00:00,20230600,20230700,20230700
2023-07-19 04:00:00,20230700,20230800,20230800
2023-08-22 04:00:01,20230800,20230900,20230900
2023-09-20 04:00:02,20230900,20231000,20231000
2023-10-27 04:00:01,20231000,20231100,20231100
2023-11-27 04:00:01,20231100,20231200,20231200
2023-12-29 04:00:01,20231200,20240100,20240100
2024-01-26 04:00:01,20240100,20240200,20240200
2024-02-23 04:00:01,20240200,20240300,20240300
2024-03-22 04:00:01,20240300,20240400,20240400
2024-03-29 04:00:00,20240400,20240500,20240500
