DATE_TIME,current_contract,next_contract,carry_contract
2012-12-05 23:00:00,20121200,20130300,20130300
2013-03-05 23:00:00,20130300,20130600,20130600
2013-06-05 23:00:00,20130600,20130900,20130900
2013-09-04 23:00:00,20130900,20131200,20131200
2013-12-04 09:04:51,20131200,20140300,20140300
2014-03-05 07:38:02,20140300,20140600,20140600
2014-06-04 07:48:56,20140600,20140900,20140900
2014-09-04 23:00:00,20140900,20141200,20141200
2014-12-04 23:00:00,20141200,20150300,20150300
2015-03-04 07:42:01,20150300,20150600,20150600
2015-06-04 07:34:51,20150600,20150900,20150900
2015-09-04 07:36:01,20150900,20151200,20151200
2015-12-04 08:40:44,20151200,20160300,20160300
2016-03-04 07:47:06,20160300,20160600,20160600
2016-06-06 09:36:54,20160600,20160900,20160900
2016-09-06 07:38:58,20160900,20161200,20161200
2016-12-06 07:37:10,20161200,20170300,20170300
2017-03-06 09:53:20,20170300,20170600,20170600
2017-06-06 09:34:57,20170600,20170900,20170900
2017-09-05 09:30:53,20170900,20171200,20171200
2017-12-05 07:35:59,20171200,20180300,20180300
2018-03-02 23:00:00,20180300,20180600,20180600
2018-06-05 09:58:53,20180600,20180900,20180900
2018-09-06 07:00:00,20180900,20181200,20181200
2018-12-03 07:30:00,20181200,20190300,20190300
2019-03-01 07:30:00,20190300,20190600,20190600
2019-06-03 07:30:00,20190600,20190900,20190900
2019-09-02 09:00:00,20190900,20191200,20191200
2019-12-02 09:00:00,20191200,20200300,20200300
2020-03-02 09:00:00,20200300,20200600,20200600
2020-05-29 08:00:00,20200600,20200900,20200900
2020-09-01 08:00:00,20200900,20201200,20201200
2020-11-30 17:00:01,20201200,20210300,20210300
2021-03-01 17:00:01,20210300,20210600,20210600
2021-06-03 21:00:01,20210600,20210900,20210900
2021-08-30 19:00:02,20210900,20211200,20211200
2021-12-02 19:00:01,20211200,20220300,20220300
2022-03-01 19:00:01,20220300,20220600,20220600
2022-06-01 19:00:01,20220600,20220900,20220900
2022-09-05 18:00:01,20220900,20221200,20221200
2022-12-06 20:00:01,20221200,20230300,20230300
2023-03-06 16:00:01,20230300,20230600,20230600
2023-05-26 16:00:02,20230600,20230900,20230900
2023-09-01 16:00:01,20230900,20231200,20231200
2023-11-29 16:00:01,20231200,20240300,20240300
2024-03-04 16:00:01,20240300,20240600,20240600
2024-07-08 09:00:00,20240600,20240900,20240900
