DATE_TIME,current_contract,next_contract,carry_contract
1988-10-04 23:00:00,19881100,19890100,19880900
1988-12-02 23:00:00,19890100,19890300,19881100
1989-02-01 23:00:00,19890300,19890500,19890100
1989-04-24 23:00:00,19890500,19890700,19890300
1989-06-05 23:00:00,19890700,19890900,19890500
1989-08-03 23:00:00,19890900,19891100,19890700
1989-10-04 23:00:00,19891100,19900100,19890900
1989-12-04 23:00:00,19900100,19900300,19891100
1990-02-01 23:00:00,19900300,19900500,19900100
1990-04-03 23:00:00,19900500,19900700,19900300
1990-06-05 23:00:00,19900700,19900900,19900500
1990-08-03 23:00:00,19900900,19901100,19900700
1990-10-04 23:00:00,19901100,19910100,19900900
1990-12-04 23:00:00,19910100,19910300,19901100
1991-02-01 23:00:00,19910300,19910500,19910100
1991-04-03 23:00:00,19910500,19910700,19910300
1991-06-04 23:00:00,19910700,19910900,19910500
1991-08-05 23:00:00,19910900,19911100,19910700
1991-10-04 23:00:00,19911100,19920100,19910900
1991-12-03 23:00:00,19920100,19920300,19911100
1992-02-04 23:00:00,19920300,19920500,19920100
1992-04-03 23:00:00,19920500,19920700,19920300
1992-06-03 23:00:00,19920700,19920900,19920500
1992-08-04 23:00:00,19920900,19921100,19920700
1992-10-06 23:00:00,19921100,19930100,19920900
1992-12-02 23:00:00,19930100,19930300,19921100
1993-02-02 23:00:00,19930300,19930500,19930100
1993-04-05 23:00:00,19930500,19930700,19930300
1993-06-03 23:00:00,19930700,19930900,19930500
1993-08-03 23:00:00,19930900,19931100,19930700
1993-10-05 23:00:00,19931100,19940100,19930900
1993-12-02 23:00:00,19940100,19940300,19931100
1994-02-01 23:00:00,19940300,19940500,19940100
1994-04-05 23:00:00,19940500,19940700,19940300
1994-06-03 23:00:00,19940700,19940900,19940500
1994-08-03 23:00:00,19940900,19941100,19940700
1994-10-04 23:00:00,19941100,19950100,19940900
1994-12-02 23:00:00,19950100,19950300,19941100
1995-02-01 23:00:00,19950300,19950500,19950100
1995-04-04 23:00:00,19950500,19950700,19950300
1995-06-05 23:00:00,19950700,19950900,19950500
1995-08-03 23:00:00,19950900,19951100,19950700
1995-10-04 23:00:00,19951100,19960100,19950900
1995-12-05 23:00:00,19960100,19960300,19951100
1996-02-02 23:00:00,19960300,19960500,19960100
1996-04-03 23:00:00,19960500,19960700,19960300
1996-06-04 23:00:00,19960700,19960900,19960500
1996-08-05 23:00:00,19960900,19961100,19960700
1996-10-04 23:00:00,19961100,19970100,19960900
1996-12-03 23:00:00,19970100,19970300,19961100
1997-02-03 23:00:00,19970300,19970500,19970100
1997-04-03 23:00:00,19970500,19970700,19970300
1997-06-03 23:00:00,19970700,19970900,19970500
1997-08-05 23:00:00,19970900,19971100,19970700
1997-10-06 23:00:00,19971100,19980100,19970900
1997-12-02 23:00:00,19980100,19980300,19971100
1998-02-03 23:00:00,19980300,19980500,19980100
1998-04-03 23:00:00,19980500,19980700,19980300
1998-06-03 23:00:00,19980700,19980900,19980500
1998-08-04 23:00:00,19980900,19981100,19980700
1998-10-06 23:00:00,19981100,19990100,19980900
1998-12-02 23:00:00,19990100,19990300,19981100
1999-02-02 23:00:00,19990300,19990500,19990100
1999-04-06 23:00:00,19990500,19990700,19990300
1999-06-03 23:00:00,19990700,19990900,19990500
1999-08-03 23:00:00,19990900,19991100,19990700
1999-10-05 23:00:00,19991100,20000100,19990900
1999-12-03 23:00:00,20000100,20000300,19991100
2000-02-02 23:00:00,20000300,20000500,20000100
2000-04-04 23:00:00,20000500,20000700,20000300
2000-06-05 23:00:00,20000700,20000900,20000500
2000-08-03 23:00:00,20000900,20001100,20000700
2000-10-04 23:00:00,20001100,20010100,20000900
2000-12-04 23:00:00,20010100,20010300,20001100
2001-02-01 23:00:00,20010300,20010500,20010100
2001-04-03 23:00:00,20010500,20010700,20010300
2001-06-05 23:00:00,20010700,20010900,20010500
2001-08-06 23:00:00,20010900,20011100,20010700
2001-10-04 23:00:00,20011100,20020100,20010900
2001-12-04 23:00:00,20020100,20020300,20011100
2002-02-01 23:00:00,20020300,20020500,20020100
2002-04-03 23:00:00,20020500,20020700,20020300
2002-06-04 23:00:00,20020700,20020900,20020500
2002-08-05 23:00:00,20020900,20021100,20020700
2002-10-04 23:00:00,20021100,20030100,20020900
2002-12-03 23:00:00,20030100,20030300,20021100
2003-02-03 23:00:00,20030300,20030500,20030100
2003-04-03 23:00:00,20030500,20030700,20030300
2003-06-03 23:00:00,20030700,20030900,20030500
2003-08-05 23:00:00,20030900,20031100,20030700
2003-10-07 23:00:00,20031100,20040100,20030900
2003-12-03 23:00:00,20040100,20040300,20031100
2004-02-03 23:00:00,20040300,20040500,20040100
2004-04-05 23:00:00,20040500,20040700,20040300
2004-06-03 23:00:00,20040700,20040900,20040500
2004-08-03 23:00:00,20040900,20041100,20040700
2004-10-05 23:00:00,20041100,20050100,20040900
2004-12-02 23:00:00,20050100,20050300,20041100
2005-02-01 23:00:00,20050300,20050500,20050100
2005-04-05 23:00:00,20050500,20050700,20050300
2005-06-03 23:00:00,20050700,20050900,20050500
2005-08-03 23:00:00,20050900,20051100,20050700
2005-10-04 23:00:00,20051100,20060100,20050900
2005-12-02 23:00:00,20060100,20060300,20051100
2006-02-01 23:00:00,20060300,20060500,20060100
2006-04-04 23:00:00,20060500,20060700,20060300
2006-06-05 23:00:00,20060700,20060900,20060500
2006-08-03 23:00:00,20060900,20061100,20060700
2006-10-04 23:00:00,20061100,20070100,20060900
2006-12-04 23:00:00,20070100,20070300,20061100
2007-02-01 23:00:00,20070300,20070500,20070100
2007-04-03 23:00:00,20070500,20070700,20070300
2007-06-05 23:00:00,20070700,20070900,20070500
2007-08-03 23:00:00,20070900,20071100,20070700
2007-10-04 23:00:00,20071100,20080100,20070900
2007-12-04 23:00:00,20080100,20080300,20071100
2008-02-04 23:00:00,20080300,20080500,20080100
2008-04-03 23:00:00,20080500,20080700,20080300
2008-06-03 23:00:00,20080700,20080900,20080500
2008-08-05 23:00:00,20080900,20081100,20080700
2008-11-04 01:00:00,20081100,20090100,20080900
2008-12-01 09:00:00,20090100,20090300,20081100
2009-02-02 10:00:00,20090300,20090500,20090100
2009-04-02 10:00:00,20090500,20090700,20090300
2009-06-02 10:00:00,20090700,20090900,20090500
2009-08-03 01:00:00,20090900,20091100,20090700
2009-10-05 15:00:00,20091100,20100100,20090900
2009-12-01 09:00:00,20100100,20100300,20091100
2010-02-01 02:00:00,20100300,20100500,20100100
2010-04-05 01:00:00,20100500,20100700,20100300
2010-06-02 11:00:00,20100700,20100900,20100500
2010-08-02 08:00:00,20100900,20101100,20100700
