DATE_TIME,current_contract,next_contract,carry_contract
2015-06-11 02:00:00,20150600,20150900,20150900
2015-09-11 02:00:00,20150900,20151200,20151200
2015-12-11 02:00:00,20151200,20160300,20160300
2016-03-11 02:00:00,20160300,20160600,20160600
2016-06-10 02:00:00,20160600,20160900,20160900
2016-09-11 23:00:00,20160900,20161200,20161200
2016-12-12 01:00:00,20161200,20170300,20170300
2017-03-10 02:00:00,20170300,20170600,20170600
2017-06-11 23:00:00,20170600,20170900,20170900
2017-09-11 02:00:00,20170900,20171200,20171200
2017-12-11 02:00:00,20171200,20180300,20180300
2018-03-11 23:00:00,20180300,20180600,20180600
2018-06-11 02:00:00,20180600,20180900,20180900
2018-09-11 02:00:00,20180900,20181200,20181200
2018-12-11 02:00:00,20181200,20190300,20190300
2019-03-11 02:00:00,20190300,20190600,20190600
2019-06-11 07:00:00,20190600,20190900,20190900
2019-09-11 02:00:00,20190900,20191200,20191200
2019-12-11 02:00:00,20191200,20200300,20200300
2020-03-11 02:00:00,20200300,20200600,20200600
2020-06-11 02:00:00,20200600,20200900,20200900
2020-09-11 02:00:00,20200900,20201200,20201200
2020-12-11 02:00:00,20201200,20210300,20210300
2021-03-11 02:00:00,20210300,20210600,20210600
2021-06-11 02:00:00,20210600,20210900,20210900
2021-09-13 19:00:01,20210900,20211200,20211200
2021-12-10 19:00:01,20211200,20220300,20220300
2022-03-10 19:00:01,20220300,20220600,20220600
2022-06-10 18:00:01,20220600,20220900,20220900
2022-09-02 23:00:01,20220900,20221200,20221200
2022-12-06 20:00:01,20221200,20230300,20230300
2023-03-08 21:00:01,20230300,20230600,20230600
2023-06-14 20:00:01,20230600,20230900,20230900
2023-09-01 20:00:01,20230900,20231200,20231200
2023-12-08 20:00:01,20231200,20240300,20240300
2024-03-04 20:00:01,20240300,20240600,20240600
2024-06-10 23:00:00,20240600,20240900,20240900
2024-09-10 23:00:00,20240900,20241200,20241200
