DATE_TIME,current_contract,next_contract,carry_contract
2020-03-24 11:00:00,20221200,20230300,20220900
2020-06-17 14:00:00,20230300,20230600,20221200
2020-09-16 15:00:00,20230600,20230900,20230300
2020-12-14 10:00:00,20230900,20231200,20230600
2021-03-15 09:00:00,20231200,20240300,20230900
2021-06-14 08:00:00,20240300,20240600,20231200
2021-09-14 08:00:00,20240600,20240900,20240300
2021-12-15 08:00:00,20240900,20241200,20240600
2022-03-16 08:00:00,20241200,20250300,20240900
2022-06-14 08:00:00,20250300,20250600,20241200
2022-09-14 08:00:00,20250600,20250900,20250300
2023-07-17 14:00:01,20250900,20251200,20250600
2023-07-17 14:00:02,20251200,20260300,20250900
2023-08-22 16:00:02,20260300,20260600,20251200
2023-11-29 15:00:01,20260600,20260900,20260300
2024-03-14 15:00:01,20260900,20261200,20260600
2024-07-08 10:00:00,20261200,20270300,20260900
