DATE_TIME,current_contract,next_contract,carry_contract
2020-11-27 23:00:00,20201200,20210300,20210300
2021-02-24 23:00:00,20210300,20210600,20210600
2021-05-27 23:00:00,20210600,20210900,20210900
2021-08-30 19:00:01,20210900,20211200,20211200
2021-11-29 20:00:01,20211200,20220300,20220300
2022-02-23 19:00:01,20220300,20220600,20220600
2022-05-23 19:00:01,20220600,20220900,20220900
2022-08-29 18:00:01,20220900,20221200,20221200
2022-11-23 21:00:01,20221200,20230300,20230300
2023-02-22 21:00:01,20230300,20230600,20230600
2023-05-23 20:00:01,20230600,20230900,20230900
2023-09-06 20:00:02,20230900,20231200,20231200
2023-11-27 20:00:01,20231200,20240300,20240300
2024-02-23 20:00:01,20240300,20240600,20240600
2024-07-05 23:00:00,20240600,20240900,20240900
