DATE_TIME,current_contract,next_contract,carry_contract
2006-02-24 23:00:00,20060300,20060400,20060200
2006-02-27 23:00:00,20060400,20060500,20060300
2006-04-27 23:00:00,20060500,20060600,20060400
2006-05-25 23:00:00,20060600,20060700,20060500
2006-05-26 23:00:00,20060700,20060800,20060600
2006-07-27 23:00:00,20060800,20060900,20060700
2006-08-24 23:00:00,20060900,20061000,20060800
2006-08-25 23:00:00,20061000,20061100,20060900
2006-09-26 23:00:00,20061100,20061200,20061000
2006-10-26 23:00:00,20061200,20070100,20061100
2006-11-27 23:00:00,20070100,20070200,20061200
2006-12-28 23:00:00,20070200,20070300,20070100
2007-01-24 23:00:00,20070300,20070400,20070200
2007-02-23 23:00:00,20070400,20070500,20070300
2007-03-26 23:00:00,20070500,20070600,20070400
2007-04-25 23:00:00,20070600,20070700,20070500
2007-05-24 23:00:00,20070700,20070800,20070600
2007-06-26 23:00:00,20070800,20070900,20070700
2007-07-26 23:00:00,20070900,20071000,20070800
2007-08-24 23:00:00,20071000,20071100,20070900
2007-09-26 23:00:00,20071100,20071200,20071000
2007-10-25 23:00:00,20071200,20080100,20071100
2007-11-27 23:00:00,20080100,20080200,20071200
2007-12-27 23:00:00,20080200,20080300,20080100
2008-01-24 23:00:00,20080300,20080400,20080200
2008-02-25 23:00:00,20080400,20080500,20080300
2008-03-26 23:00:00,20080500,20080600,20080400
2008-04-24 23:00:00,20080600,20080700,20080500
2008-05-27 23:00:00,20080700,20080800,20080600
2008-06-25 23:00:00,20080800,20080900,20080700
2008-07-25 23:00:00,20080900,20081000,20080800
2008-08-26 23:00:00,20081000,20081100,20080900
2008-09-25 23:00:00,20081100,20081200,20081000
2008-10-24 23:00:00,20081200,20090100,20081100
2008-11-26 23:00:00,20090100,20090200,20081200
2008-12-26 23:00:00,20090200,20090300,20090100
2009-01-23 23:00:00,20090300,20090400,20090200
2009-02-24 23:00:00,20090400,20090500,20090300
2009-03-25 23:00:00,20090500,20090600,20090400
2009-04-24 23:00:00,20090600,20090700,20090500
2009-05-27 23:00:00,20090700,20090800,20090600
2009-06-25 23:00:00,20090800,20090900,20090700
2009-07-27 23:00:00,20090900,20091000,20090800
2009-08-26 23:00:00,20091000,20091100,20090900
2009-09-24 23:00:00,20091100,20091200,20091000
2009-10-26 23:00:00,20091200,20100100,20091100
2009-11-25 23:00:00,20100100,20100200,20091200
2009-12-28 23:00:00,20100200,20100300,20100100
2010-01-22 23:00:00,20100300,20100400,20100200
2010-02-24 23:00:00,20100400,20100500,20100300
2010-03-25 23:00:00,20100500,20100600,20100400
2010-04-26 23:00:00,20100600,20100700,20100500
2010-05-26 23:00:00,20100700,20100800,20100600
2010-06-24 23:00:00,20100800,20100900,20100700
2010-07-27 23:00:00,20100900,20101000,20100800
2010-08-25 23:00:00,20101000,20101100,20100900
2010-09-24 23:00:00,20101100,20101200,20101000
2010-10-26 23:00:00,20101200,20110100,20101100
2010-11-26 23:00:00,20110100,20110200,20101200
2010-12-28 23:00:00,20110200,20110300,20110100
2011-01-24 23:00:00,20110300,20110400,20110200
2011-02-24 23:00:00,20110400,20110500,20110300
2011-03-24 23:00:00,20110500,20110600,20110400
2011-04-27 23:00:00,20110600,20110700,20110500
2011-05-25 23:00:00,20110700,20110800,20110600
2011-06-24 23:00:00,20110800,20110900,20110700
2011-07-27 23:00:00,20110900,20111000,20110800
2011-08-25 23:00:00,20111000,20111100,20110900
2011-09-26 23:00:00,20111100,20111200,20111000
2011-10-26 23:00:00,20111200,20120100,20111100
2011-11-25 23:00:00,20120100,20120200,20111200
2011-12-28 23:00:00,20120200,20120300,20120100
2012-01-25 23:00:00,20120300,20120400,20120200
2012-02-24 23:00:00,20120400,20120500,20120300
2012-03-26 23:00:00,20120500,20120600,20120400
2012-04-25 23:00:00,20120600,20120700,20120500
2012-05-24 23:00:00,20120700,20120800,20120600
2012-06-26 23:00:00,20120800,20120900,20120700
2012-07-26 23:00:00,20120900,20121000,20120800
2012-08-24 23:00:00,20121000,20121100,20120900
2012-09-26 12:00:00,20121100,20121200,20121000
2012-10-25 12:00:00,20121200,20130100,20121100
2012-11-27 13:00:00,20130100,20130200,20121200
2012-12-27 13:00:00,20130200,20130300,20130100
2013-01-24 13:00:00,20130300,20130400,20130200
2013-02-22 13:00:00,20130400,20130500,20130300
2013-03-26 12:00:00,20130500,20130600,20130400
2013-04-25 12:00:00,20130600,20130700,20130500
2013-05-24 12:00:00,20130700,20130800,20130600
2013-06-26 12:00:00,20130800,20130900,20130700
2013-07-25 12:00:00,20130900,20131000,20130800
2013-08-26 12:00:00,20131000,20131100,20130900
2013-09-25 12:00:00,20131100,20131200,20131000
2013-10-24 12:00:00,20131200,20140100,20131100
2013-11-26 08:00:00,20140100,20140200,20131200
2013-12-27 08:00:00,20140200,20140300,20140100
