DATE_TIME,current_contract,next_contract,carry_contract
2020-09-16,20201000,20201100,20200900
2020-10-21,20201100,20201200,20201000
2020-11-18,20201200,20210100,20201100
2020-12-16,20210100,20210200,20201200
2021-01-20,20210200,20210300,20210100
2021-02-17,20210300,20210400,20210200
2021-03-17,20210400,20210500,20210300
2021-04-20,20210500,20210600,20210400
2021-05-19,20210600,20210700,20210500
2021-06-16,20210700,20210800,20210600
2021-07-21,20210800,20210900,20210700
2021-08-18,20210900,20211000,20210800
2021-09-15,20211000,20211100,20210900
2021-10-20,20211100,20211200,20211000
2021-11-17,20211200,20220100,20211100
2021-12-21,20220100,20220200,20211200
2022-01-19,20220200,20220300,20220100
2022-02-16,20220300,20220400,20220200
2022-03-15,20220400,20220500,20220300
2022-04-20,20220500,20220600,20220400
2022-05-18,20220600,20220700,20220500
2022-06-15,20220700,20220800,20220600
2022-07-20,20220800,20220900,20220700
2022-08-17,20220900,20221000,20220800
2022-09-20,20221000,20221100,20220900
2022-10-19,20221100,20221200,20221000
2022-11-16,20221200,20230100,20221100
2022-12-21,20230100,20230200,20221200
2023-01-18,20230200,20230300,20230100
2023-02-15,20230300,20230400,20230200
2023-03-21,20230400,20230500,20230300
2023-04-19,20230500,20230600,20230400
2023-05-17,20230600,20230700,20230500
2023-06-20,20230700,20230800,20230600
2023-07-19,20230800,20230900,20230700
2023-08-16,20230900,20231000,20230800
2023-09-20,20231000,20231100,20230900
2023-10-18,20231100,20231200,20231000
2023-11-15,20231200,20240100,20231100
2023-12-20,20240100,20240200,20231200
2024-01-17,20240200,20240300,20240100
2024-02-14,20240300,20240400,20240200
2024-03-20,20240400,20240500,20240300
2024-04-17,20240500,20240600,20240400
2024-05-21,20240600,20240700,20240500
2024-06-18,20240700,20240800,20240600
2024-07-17,20240800,20240900,20240700
2024-08-21,20240900,20241000,20240800
2024-09-18,20241000,20241100,20240900
2024-10-16,20241100,20241200,20241000
2024-11-20,20241200,20250100,20241100
2024-12-18,20250100,20250200,20241200
2024-12-26,20250200,20250300,20250100
